High Level Relay Cat,Specific Ind,drug_class_name,drug_group_name,indication,High Level Relay Cat
"eye diseases, hereditary|genetic diseases, inborn|skin diseases|metabolic diseases",Albinism,,,,"eye diseases, hereditary|genetic diseases, inborn|skin diseases|metabolic diseases"
"eye diseases, hereditary|genetic diseases, inborn|skin diseases|metabolic diseases","Albinism, Oculocutaneous",,,,"eye diseases, hereditary|genetic diseases, inborn|skin diseases|metabolic diseases"
alcohol-related disorders,Alcohol-Induced Disorders,Alcohol Dependence Treatments,Addictions,Alcohol Addiction,alcohol-related disorders
alcohol-related disorders,Alcohol-Related Disorders,Alcohol Dependence Treatments,Addictions,Alcohol Addiction,alcohol-related disorders
alcohol-related disorders|substance-related disorders,Alcoholism,Alcohol Dependence Treatments,Addictions,Alcohol Addiction,alcohol-related disorders|substance-related disorders
"skin diseases|pathological conditions, anatomical",Alopecia,Other Dermatology Products,Other Dermatology Disorders,Alopecia (androgenic),"skin diseases|pathological conditions, anatomical"
"skin diseases|pathological conditions, anatomical",Alopecia Areata,Other Dermatology Products,Other Dermatology Disorders,Alopecia (androgenic),"skin diseases|pathological conditions, anatomical"
rna virus infections,Alphavirus Infections,,,,rna virus infections
"central nervous system diseases|neurodegenerative diseases|delirium, dementia, amnestic, cognitive disorders",Alzheimer Disease,Other Alzheimers Disease Agents,Alzheimer's Disease,Alzheimer's Disease,"central nervous system diseases|neurodegenerative diseases|delirium, dementia, amnestic, cognitive disorders"
pathologic processes,Amenorrhea,,,,pathologic processes
"genetic diseases, inborn|metabolic diseases","Amino Acid Metabolism, Inborn Errors",,,,"genetic diseases, inborn|metabolic diseases"
amphetamine-related disorders,Amphetamine-Related Disorders,,,,amphetamine-related disorders
central nervous system diseases|neurodegenerative diseases|neuromuscular diseases|metabolic diseases,Amyotrophic Lateral Sclerosis,,,,central nervous system diseases|neurodegenerative diseases|neuromuscular diseases|metabolic diseases
"urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders|genetic diseases, inborn",Androgen-Insensitivity Syndrome,,,,"urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders|genetic diseases, inborn"
hematologic diseases,Anemia,Other Anemia Treatments,Anemia,Anemia,hematologic diseases
hematologic diseases,"Anemia, Aplastic",ESAs (Oncology),Anemia (Oncology),Anemia in MDS,hematologic diseases
hematologic diseases,"Anemia, Hemolytic",Other Anemia Treatments,Anemia,Anemia,hematologic diseases
"hematologic diseases|genetic diseases, inborn","Anemia, Hemolytic, Congenital",Other Anemia Treatments,Anemia,Anemia,"hematologic diseases|genetic diseases, inborn"
"hematologic diseases|genetic diseases, inborn","Anemia, Sickle Cell",Other Anemia Treatments,Anemia,Anemia,"hematologic diseases|genetic diseases, inborn"
pathologic processes,Aneuploidy,,,,pathologic processes
vascular diseases,Aneurysm,,,,vascular diseases
"congenital abnormalities|central nervous system diseases|genetic diseases, inborn",Angelman Syndrome,,,,"congenital abnormalities|central nervous system diseases|genetic diseases, inborn"
heart diseases|vascular diseases|signs and symptoms|neurologic manifestations,Angina Pectoris,Other Anti-hypertensives,Hypertension,Angina,heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
heart diseases|vascular diseases|signs and symptoms|neurologic manifestations,"Angina, Stable",Other Anti-hypertensives,Hypertension,Angina,heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
heart diseases|vascular diseases|signs and symptoms|neurologic manifestations,"Angina, Unstable",Other Anti-hypertensives,Hypertension,Angina,heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
vascular diseases|skin diseases|hypersensitivity,Angioedema,,,,vascular diseases|skin diseases|hypersensitivity
"vascular diseases|skin diseases|hypersensitivity|genetic diseases, inborn","Angioedemas, Hereditary",,,,"vascular diseases|skin diseases|hypersensitivity|genetic diseases, inborn"
signs and symptoms,Anorexia,,,,signs and symptoms
eating disorders,Anorexia Nervosa,,,,eating disorders
bacterial infections,Anthrax,Other Antibiotics,Bacterial Infection,anthrax,bacterial infections
vascular diseases|autoimmune diseases,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,,,,vascular diseases|autoimmune diseases
autoimmune diseases,Antiphospholipid Syndrome,,,,autoimmune diseases
gastrointestinal diseases,Anus Diseases,,,,gastrointestinal diseases
gastrointestinal diseases|neoplasms by site|digestive system neoplasms,Anus Neoplasms,,,,gastrointestinal diseases|neoplasms by site|digestive system neoplasms
anxiety disorders,Anxiety Disorders,,,,anxiety disorders
vascular diseases,Aortic Aneurysm,,,,vascular diseases
vascular diseases,"Aortic Aneurysm, Abdominal",,,,vascular diseases
vascular diseases,Aortic Diseases,,,,vascular diseases
respiration disorders|signs and symptoms,Apnea,,,,respiration disorders|signs and symptoms
arbovirus infections,Arbovirus Infections,,,,arbovirus infections
heart diseases|pathologic processes,"Arrhythmias, Cardiac",Other Anti-arrhythmics,Arrhythmias,Arrhythmias ,heart diseases|pathologic processes
vascular diseases,Arterial Occlusive Diseases,Anti-platelets,Thrombosis,Arterial Thrombosis,vascular diseases
vascular diseases,Arteriosclerosis,Anti-platelets,Thrombosis,Arterial Thrombosis,vascular diseases
joint diseases|signs and symptoms|neurologic manifestations,Arthralgia,,,,joint diseases|signs and symptoms|neurologic manifestations
joint diseases,Arthritis,,,,joint diseases
joint diseases|bone diseases|skin diseases|infection,"Arthritis, Psoriatic",,,,joint diseases|bone diseases|skin diseases|infection
joint diseases|rheumatic diseases|connective tissue diseases|autoimmune diseases,"Arthritis, Rheumatoid",,,,joint diseases|rheumatic diseases|connective tissue diseases|autoimmune diseases
pathologic processes,Ascites,,,,pathologic processes
mental disorders diagnosed in childhood,Asperger Syndrome,,,,mental disorders diagnosed in childhood
asphyxia,Asphyxia,,,,asphyxia
bronchial diseases|lung diseases|respiratory hypersensitivity|hypersensitivity,Asthma,Other Asthma Agents,Asthma & COPD,Asthma,bronchial diseases|lung diseases|respiratory hypersensitivity|hypersensitivity
neoplasms by histologic type,Astrocytoma,,,,neoplasms by histologic type
neurologic manifestations|signs and symptoms|central nervous system diseases,Ataxia,,,,neurologic manifestations|signs and symptoms|central nervous system diseases
vascular diseases,Atherosclerosis,Anti-platelets,Thrombosis,Arterial Thrombosis,vascular diseases
heart diseases|pathologic processes,Atrial Fibrillation,Other Anti-arrhythmics,Arrhythmias,Atrial Fibrillation,heart diseases|pathologic processes
heart diseases|pathologic processes,Atrial Flutter,Other Anti-arrhythmics,Arrhythmias,Atrial Fibrillation,heart diseases|pathologic processes
"pathological conditions, anatomical",Atrophy,,,,"pathological conditions, anatomical"
mental disorders diagnosed in childhood,Attention Deficit and Disruptive Behavior Disorders,Other ADHD Agents,ADHD,ADHD,mental disorders diagnosed in childhood
mental disorders diagnosed in childhood,Attention Deficit Disorder with Hyperactivity,Other ADHD Agents,ADHD,ADHD,mental disorders diagnosed in childhood
mental disorders diagnosed in childhood,Autistic Disorder,,,,mental disorders diagnosed in childhood
autoimmune diseases,Autoimmune Diseases,Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Autoimmune Disease,autoimmune diseases
autoimmune diseases|autoimmune diseases of the nervous system,Autoimmune Diseases of the Nervous System,Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Autoimmune Disease,autoimmune diseases|autoimmune diseases of the nervous system
"autoimmune diseases|lymphatic diseases|genetic diseases, inborn|immunoproliferative disorders",Autoimmune Lymphoproliferative Syndrome,Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Autoimmune Disease,"autoimmune diseases|lymphatic diseases|genetic diseases, inborn|immunoproliferative disorders"
bacterial infections,Bacillaceae Infections,,,,bacterial infections
neurologic manifestations|signs and symptoms,Back Pain,,,,neurologic manifestations|signs and symptoms
bacterial infections,Bacterial Infections,Other Antibiotics,Bacterial Infection,bacterial infection,bacterial infections
digestive system abnormalities|gastrointestinal diseases,Barrett Esophagus,,,,digestive system abnormalities|gastrointestinal diseases
central nervous system diseases,Basal Ganglia Diseases,,,,central nervous system diseases
"hematologic diseases|genetic diseases, inborn",beta-Thalassemia,,,,"hematologic diseases|genetic diseases, inborn"
biliary tract diseases,Bile Duct Diseases,,,,biliary tract diseases
biliary tract diseases|neoplasms by site|digestive system neoplasms,Bile Duct Neoplasms,,,,biliary tract diseases|neoplasms by site|digestive system neoplasms
biliary tract diseases|digestive system abnormalities|congenital abnormalities,Biliary Atresia,,,,biliary tract diseases|digestive system abnormalities|congenital abnormalities
biliary tract diseases,Biliary Tract Diseases,,,,biliary tract diseases
biliary tract diseases|neoplasms by site|digestive system neoplasms,Biliary Tract Neoplasms,,,,biliary tract diseases|neoplasms by site|digestive system neoplasms
mood disorders,Bipolar Disorder,Other Anti-depressants,Depression,Bipolar Disorder,mood disorders
signs and symptoms,Birth Weight,,,,signs and symptoms
eyelid diseases,Blepharitis,,,,eyelid diseases
neurologic manifestations|vision disorders|signs and symptoms,Blindness,,,,neurologic manifestations|vision disorders|signs and symptoms
hematologic diseases,Blood Coagulation Disorders,,,,hematologic diseases
"hematologic diseases|genetic diseases, inborn","Blood Coagulation Disorders, Inherited",,,,"hematologic diseases|genetic diseases, inborn"
hematologic diseases,Blood Platelet Disorders,,,,hematologic diseases
hematologic diseases,Blood Protein Disorders,,,,hematologic diseases
signs and symptoms,Body Weight,,,,signs and symptoms
signs and symptoms,Body Weight Changes,,,,signs and symptoms
cysts|bone diseases,Bone Cysts,,,,cysts|bone diseases
bone diseases,"Bone Diseases, Developmental",,,,bone diseases
"bone diseases|bone diseases, endocrine","Bone Diseases, Endocrine",,,,"bone diseases|bone diseases, endocrine"
bone diseases|infection,"Bone Diseases, Infectious",,,,bone diseases|infection
bone diseases,"Bone Diseases, Metabolic",,,,bone diseases
hematologic diseases,Bone Marrow Diseases,,,,hematologic diseases
bacterial infections,Borrelia Infections,,,,bacterial infections
heart diseases|pathologic processes,Bradycardia,,,,heart diseases|pathologic processes
central nervous system diseases,Brain Diseases,,,,central nervous system diseases
central nervous system diseases|metabolic diseases,"Brain Diseases, Metabolic",,,,central nervous system diseases|metabolic diseases
"central nervous system diseases|metabolic diseases|genetic diseases, inborn","Brain Diseases, Metabolic, Inborn",,,,"central nervous system diseases|metabolic diseases|genetic diseases, inborn"
"central nervous system diseases|trauma, nervous system|craniocerebral trauma",Brain Injuries,,,,"central nervous system diseases|trauma, nervous system|craniocerebral trauma"
central nervous system diseases|vascular diseases,Brain Ischemia,,,,central nervous system diseases|vascular diseases
central nervous system diseases|neoplasms by site|nervous system neoplasms,Brain Neoplasms,,,,central nervous system diseases|neoplasms by site|nervous system neoplasms
neurologic manifestations|signs and symptoms,Breakthrough Pain,,,,neurologic manifestations|signs and symptoms
skin diseases,Breast Diseases,Other Targeted Small Molecules,Targeted Small Molecules,Breast Cancer,skin diseases
skin diseases|neoplasms by site,Breast Neoplasms,Other Targeted Small Molecules,Targeted Small Molecules,Breast Cancer,skin diseases|neoplasms by site
skin diseases|neoplasms by site,"Breast Neoplasms, Male",Other Targeted Small Molecules,Targeted Small Molecules,Breast Cancer,skin diseases|neoplasms by site
female urogenital diseases|neoplasms by histologic type|gonadal disorders|neoplasms by site|connective tissue diseases|endocrine gland neoplasms|urogenital neoplasms,Brenner Tumor,,,,female urogenital diseases|neoplasms by histologic type|gonadal disorders|neoplasms by site|connective tissue diseases|endocrine gland neoplasms|urogenital neoplasms
bronchial diseases|neoplasms by site|respiratory tract neoplasms|lung diseases,Bronchial Neoplasms,,,,bronchial diseases|neoplasms by site|respiratory tract neoplasms|lung diseases
bronchial diseases,Bronchiectasis,,,,bronchial diseases
rna virus infections,Bunyaviridae Infections,,,,rna virus infections
"dna virus infections|tumor virus infections|neoplasms by histologic type|neoplasms, experimental|lymphatic diseases|immunoproliferative disorders",Burkitt Lymphoma,,,,"dna virus infections|tumor virus infections|neoplasms by histologic type|neoplasms, experimental|lymphatic diseases|immunoproliferative disorders"
burns,Burns,,,,burns
joint diseases,Bursitis,,,,joint diseases
signs and symptoms,Cachexia,,,,signs and symptoms
bacterial infections,Campylobacter Infections,,,,bacterial infections
infection|mycoses|pathologic processes,Candidemia,,,,infection|mycoses|pathologic processes
mycoses,Candidiasis,,,,mycoses
mycoses,"Candidiasis, Invasive",,,,mycoses
mycoses|female urogenital diseases,"Candidiasis, Vulvovaginal",,,,mycoses|female urogenital diseases
neoplasms by histologic type,Carcinoid Tumor,Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,Carcinoma,Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,Carcinoma in Situ,Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,"Carcinoma, Acinar Cell",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,"Carcinoma, Adenoid Cystic",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,"Carcinoma, Basal Cell",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by site|bronchial diseases|respiratory tract neoplasms|lung diseases,"Carcinoma, Bronchogenic",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by site|bronchial diseases|respiratory tract neoplasms|lung diseases
neoplasms by histologic type,"Carcinoma, Ductal",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type|female urogenital diseases|neoplasms by site|gonadal disorders|endocrine gland neoplasms|urogenital neoplasms,"Carcinoma, Endometrioid",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type|female urogenital diseases|neoplasms by site|gonadal disorders|endocrine gland neoplasms|urogenital neoplasms
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|liver diseases,"Carcinoma, Hepatocellular",,,,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|liver diseases
neoplasms by histologic type,"Carcinoma, Intraductal, Noninfiltrating",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms,"Carcinoma, Islet Cell",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms
neoplasms by histologic type,"Carcinoma, Lobular",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,"Carcinoma, Medullary",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,"Carcinoma, Mucoepidermoid",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,"Carcinoma, Neuroendocrine",,,,neoplasms by histologic type
neoplasms by site|bronchial diseases|respiratory tract neoplasms|lung diseases,"Carcinoma, Non-Small-Cell Lung",,,,neoplasms by site|bronchial diseases|respiratory tract neoplasms|lung diseases
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms,"Carcinoma, Pancreatic Ductal",,,,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms
neoplasms by histologic type|neoplasms by site|urogenital neoplasms|urologic diseases|female urogenital diseases,"Carcinoma, Renal Cell",,,,neoplasms by histologic type|neoplasms by site|urogenital neoplasms|urologic diseases|female urogenital diseases
neoplasms by histologic type,"Carcinoma, Squamous Cell",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,"Carcinoma, Verrucous",Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
neoplasms by histologic type,Carcinosarcoma,Other Targeted Small Molecules,Targeted Small Molecules,Cancer,neoplasms by histologic type
heart diseases,Cardiomyopathies,,,,heart diseases
cardiovascular abnormalities|congenital abnormalities,Cardiovascular Abnormalities,,,,cardiovascular abnormalities|congenital abnormalities
congenital abnormalities|neoplasms by histologic type|neoplasms by site|heart diseases|connective tissue diseases|skin diseases,Carney Complex,,,,congenital abnormalities|neoplasms by histologic type|neoplasms by site|heart diseases|connective tissue diseases|skin diseases
lens diseases,Cataract,,,,lens diseases
gastrointestinal diseases|metabolic diseases,Celiac Disease,,,,gastrointestinal diseases|metabolic diseases
infection|connective tissue diseases|pathologic processes|skin diseases,Cellulitis,,,,infection|connective tissue diseases|pathologic processes|skin diseases
neoplasms by site|nervous system neoplasms,Central Nervous System Neoplasms,,,,neoplasms by site|nervous system neoplasms
central nervous system infections|central nervous system viral diseases,Central Nervous System Viral Diseases,,,,central nervous system infections|central nervous system viral diseases
central nervous system diseases,Cerebellar Diseases,,,,central nervous system diseases
central nervous system diseases|vascular diseases|pathologic processes,Cerebral Hemorrhage,,,,central nervous system diseases|vascular diseases|pathologic processes
central nervous system diseases|vascular diseases,Cerebral Small Vessel Diseases,,,,central nervous system diseases|vascular diseases
central nervous system diseases|vascular diseases,Cerebrovascular Disorders,,,,central nervous system diseases|vascular diseases
neoplasms by histologic type,Cervical Intraepithelial Neoplasia,,,,neoplasms by histologic type
cysts|eyelid diseases,Chalazion,,,,cysts|eyelid diseases
hematologic diseases|immunologic deficiency syndromes,Chediak-Higashi Syndrome,,,,hematologic diseases|immunologic deficiency syndromes
signs and symptoms|neurologic manifestations,Chest Pain,,,,signs and symptoms|neurologic manifestations
dna virus infections,Chickenpox,,,,dna virus infections
mental disorders diagnosed in childhood,"Child Development Disorders, Pervasive",,,,mental disorders diagnosed in childhood
neoplasms by histologic type,Cholangiocarcinoma,,,,neoplasms by histologic type
bacterial infections,Cholera,,,,bacterial infections
neoplasms by histologic type|connective tissue diseases,Chondrosarcoma,,,,neoplasms by histologic type|connective tissue diseases
central nervous system diseases|neurologic manifestations|signs and symptoms,Chorea,,,,central nervous system diseases|neurologic manifestations|signs and symptoms
uveal diseases,Choroid Diseases,,,,uveal diseases
uveal diseases|pathologic processes,Choroidal Neovascularization,,,,uveal diseases|pathologic processes
pathologic processes,Chromosome Aberrations,,,,pathologic processes
"congenital abnormalities|genetic diseases, inborn",Chromosome Disorders,,,,"congenital abnormalities|genetic diseases, inborn"
pathologic processes,Chromosome Duplication,,,,pathologic processes
neurologic manifestations|signs and symptoms,Chronic Pain,Other Pain,Pain,Chronic Pain,neurologic manifestations|signs and symptoms
pathologic processes,Cicatrix,,,,pathologic processes
pathologic processes,"Cicatrix, Hypertrophic",,,,pathologic processes
bacterial infections,Clostridium Infections,,,,bacterial infections
hematologic diseases,Coagulation Protein Disorders,,,,hematologic diseases
cocaine-related disorders,Cocaine-Related Disorders,Other Addiction Treatments,Addictions,Cocaine Addiction,cocaine-related disorders
"delirium, dementia, amnestic, cognitive disorders",Cognition Disorders,,,,"delirium, dementia, amnestic, cognitive disorders"
gastrointestinal diseases,Colitis,IBS Treatments,Motility Disorders,Constipation,gastrointestinal diseases
gastrointestinal diseases,"Colitis, Ulcerative",IBS Treatments,Motility Disorders,Constipation,gastrointestinal diseases
connective tissue diseases,Collagen Diseases,,,,connective tissue diseases
gastrointestinal diseases,Colonic Diseases,Other Targeted Small Molecules,Targeted Small Molecules,Colorectal Cancer,gastrointestinal diseases
gastrointestinal diseases,"Colonic Diseases, Functional",Other Targeted Small Molecules,Targeted Small Molecules,Colorectal Cancer,gastrointestinal diseases
gastrointestinal diseases|neoplasms by site|digestive system neoplasms,Colonic Neoplasms,Other Targeted Small Molecules,Targeted Small Molecules,Colorectal Cancer,gastrointestinal diseases|neoplasms by site|digestive system neoplasms
gastrointestinal diseases|neoplasms by site|digestive system neoplasms,Colorectal Neoplasms,Other Targeted Small Molecules,Targeted Small Molecules,Colorectal Cancer,gastrointestinal diseases|neoplasms by site|digestive system neoplasms
infection,Communicable Diseases,,,,infection
muscular diseases|vascular diseases,Compartment Syndromes,,,,muscular diseases|vascular diseases
"dna virus infections|sexually transmitted diseases|skin diseases, viral|tumor virus infections|skin diseases|infection",Condylomata Acuminata,,,,"dna virus infections|sexually transmitted diseases|skin diseases, viral|tumor virus infections|skin diseases|infection"
conjunctival diseases,Conjunctivitis,,,,conjunctival diseases
conjunctival diseases|hypersensitivity,"Conjunctivitis, Allergic",,,,conjunctival diseases|hypersensitivity
bacterial infections|conjunctival diseases|infection|eye infections,"Conjunctivitis, Bacterial",,,,bacterial infections|conjunctival diseases|infection|eye infections
"conjunctival diseases|eye infections, viral|eye infections","Conjunctivitis, Viral",,,,"conjunctival diseases|eye infections, viral|eye infections"
connective tissue diseases,Connective Tissue Diseases,,,,connective tissue diseases
signs and symptoms,Constipation,Bowel Dysfunction Treatments,Motility Disorders,Constipation,signs and symptoms
joint diseases|muscular diseases,Contracture,,,,joint diseases|muscular diseases
corneal diseases,Corneal Diseases,,,,corneal diseases
corneal diseases,Corneal Neovascularization,,,,corneal diseases
vascular diseases|heart diseases,Coronary Aneurysm,,,,vascular diseases|heart diseases
vascular diseases|heart diseases,Coronary Artery Disease,,,,vascular diseases|heart diseases
heart diseases|vascular diseases,Coronary Disease,,,,heart diseases|vascular diseases
respiration disorders|signs and symptoms,Cough,Other Respiratory Agents,Other Respiratory Disorders,Cough,respiration disorders|signs and symptoms
rna virus infections,Coxsackievirus Infections,,,,rna virus infections
cranial nerve diseases,Cranial Nerve Diseases,,,,cranial nerve diseases
"craniocerebral trauma|trauma, nervous system",Craniocerebral Trauma,,,,"craniocerebral trauma|trauma, nervous system"
congenital abnormalities|musculoskeletal abnormalities,Craniofacial Abnormalities,,,,congenital abnormalities|musculoskeletal abnormalities
neoplasms by histologic type,Craniopharyngioma,,,,neoplasms by histologic type
pathologic processes,Critical Illness,,,,pathologic processes
gastrointestinal diseases,Crohn Disease,Other IBD Treatments,Inflammatory Bowel Disease,crohn's disease,gastrointestinal diseases
infection,Cross Infection,,,,infection
"congenital abnormalities|genital diseases, male|urogenital abnormalities|gonadal disorders",Cryptorchidism,,,,"congenital abnormalities|genital diseases, male|urogenital abnormalities|gonadal disorders"
adrenal gland diseases,Cushing Syndrome,Growth Hormone-related Treatments,Growth Hormone Disorders,Cushing's Disease,adrenal gland diseases
neoplasms by histologic type,Cystadenocarcinoma,,,,neoplasms by histologic type
neoplasms by histologic type,"Cystadenocarcinoma, Mucinous",,,,neoplasms by histologic type
neoplasms by histologic type,"Cystadenocarcinoma, Serous",,,,neoplasms by histologic type
"pancreatic diseases|lung diseases|genetic diseases, inborn|infant, newborn, diseases",Cystic Fibrosis,Cystic Fibrosis Treatments,Cystic Fibrosis,Cystic Fibrosis,"pancreatic diseases|lung diseases|genetic diseases, inborn|infant, newborn, diseases"
urologic diseases|female urogenital diseases,Cystitis,,,,urologic diseases|female urogenital diseases
urologic diseases|female urogenital diseases,"Cystitis, Interstitial",,,,urologic diseases|female urogenital diseases
"cysts|pathological conditions, anatomical",Cysts,,,,"cysts|pathological conditions, anatomical"
dna virus infections,Cytomegalovirus Infections,,,,dna virus infections
congenital abnormalities|neurologic manifestations|vision disorders|signs and symptoms|ear diseases,Deaf-Blind Disorders,,,,congenital abnormalities|neurologic manifestations|vision disorders|signs and symptoms|ear diseases
ear diseases|neurologic manifestations|signs and symptoms,Deafness,,,,ear diseases|neurologic manifestations|signs and symptoms
metabolic diseases|pathologic processes,Dehydration,,,,metabolic diseases|pathologic processes
"central nervous system diseases|delirium, dementia, amnestic, cognitive disorders",Dementia,Other Alzheimers Disease Agents,Alzheimer's Disease,Dementia,"central nervous system diseases|delirium, dementia, amnestic, cognitive disorders"
