22q11 deletion syndrome	musculoskeletal abnormalities|cardiovascular abnormalities|heart diseases|lymphatic diseases|congenital abnormalities|genetic diseases, inborn|parathyroid diseases
accessory nerve diseases	cranial nerve diseases
accessory nerve injuries	cranial nerve diseases|trauma, nervous system|craniocerebral trauma
ache	neurologic manifestations|signs and symptoms
achlorhydria	gastrointestinal diseases|metabolic diseases
achondroplasia	bone diseases|genetic diseases, inborn|dwarfism
acid-base imbalance	metabolic diseases
acidosis	metabolic diseases
acidosis, lactic	metabolic diseases
acidosis, renal tubular	metabolic diseases|urologic diseases|female urogenital diseases|genetic diseases, inborn
acidosis, respiratory	metabolic diseases|respiration disorders
acinar cell carcinoma	neoplasms by histologic type
acinetobacter infections	bacterial infections
acne	skin diseases
acne keloid	connective tissue diseases|skin diseases|pathologic processes
acne vulgaris	skin diseases
acneiform eruptions	skin diseases
acquired dyslexia	neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood|delirium, dementia, amnestic, cognitive disorders
acquired hyperostosis syndrome	bone diseases
acquired immunodeficiency syndrome	rna virus infections|sexually transmitted diseases|slow virus diseases|immunologic deficiency syndromes
acro-osteolysis	bone diseases
acrocallosal syndrome	nervous system malformations|congenital abnormalities|pathological conditions, anatomical
acrocephalosyndactylia	bone diseases|musculoskeletal abnormalities|congenital abnormalities
acrodermatitis	congenital abnormalities|skin diseases
acrodynia	neuromuscular diseases|neurotoxicity syndromes|poisoning
acromegaly	bone diseases|central nervous system diseases|pituitary diseases|bone diseases, endocrine
acrospiroma	neoplasms by histologic type
acth syndrome, ectopic	paraneoplastic syndromes|neoplasms by site|endocrine gland neoplasms
acth-secreting pituitary adenoma	neoplasms by histologic type|neoplasms by site|central nervous system diseases|endocrine gland neoplasms|pituitary diseases|nervous system neoplasms
actinic dermatitis	skin diseases
actinic reticuloid syndrome	skin diseases
actinobacillosis	bacterial infections
actinobacillus infection	bacterial infections
actinobacillus infections	bacterial infections
actinomycetales infection	bacterial infections
actinomycetales infections	bacterial infections
actinomycosis	bacterial infections
actinomycosis, cervicofacial	bacterial infections|infection|skin diseases
activated protein c resistance	hematologic diseases|genetic diseases, inborn
acute chest syndrome	lung diseases|respiration disorders|hematologic diseases|genetic diseases, inborn
acute cholecystitis	biliary tract diseases
acute coronary syndrome	heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
acute disease	pathologic processes
acute generalized exanthematous pustulosis	skin diseases
acute hemorrhagic conjunctivitis	conjunctival diseases|eye infections, viral|rna virus infections|eye infections
acute hepatic failure	liver diseases
acute intermittent porphyria	genetic diseases, inborn|liver diseases|metabolic diseases|skin diseases
acute kidney injury	urologic diseases|female urogenital diseases
acute kidney tubular necrosis	urologic diseases|female urogenital diseases
acute lung injury	lung diseases|thoracic injuries
acute myeloid leukemia	neoplasms by histologic type
acute necrotizing pancreatitis	pancreatic diseases
acute pain	neurologic manifestations|signs and symptoms
acute radiation syndrome	radiation injuries
acute renal failure	urologic diseases|female urogenital diseases
acute respiratory distress syndrome	lung diseases|respiration disorders
acute stroke	central nervous system diseases|vascular diseases
acute-phase reaction	pathologic processes
adamantinoma	neoplasms by site|bone diseases
adams-stokes syndrome	heart diseases|pathologic processes
addison disease	adrenal gland diseases|autoimmune diseases
adenocarcinoma	neoplasms by histologic type
adenocarcinoma, bronchiolo-alveolar	neoplasms by histologic type
adenocarcinoma, clear cell	neoplasms by histologic type
adenocarcinoma, follicular	neoplasms by histologic type
adenocarcinoma, mucinous	neoplasms by histologic type
adenocarcinoma, papillary	neoplasms by histologic type
adenocarcinoma, scirrhous	neoplasms by histologic type
adenocarcinoma, sebaceous	neoplasms by histologic type
adenofibroma	neoplasms by histologic type|connective tissue diseases
adenolymphoma	neoplasms by histologic type
adenoma	neoplasms by histologic type
adenoma, acidophil	neoplasms by histologic type
adenoma, basophil	neoplasms by histologic type
adenoma, bile duct	neoplasms by histologic type
adenoma, chromophobe	neoplasms by histologic type
adenoma, islet cell	neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms
adenoma, liver cell	neoplasms by histologic type|neoplasms by site|digestive system neoplasms|liver diseases
adenoma, oxyphilic	neoplasms by histologic type
adenoma, pleomorphic	neoplasms by histologic type
adenoma, sweat gland	neoplasms by histologic type
adenoma, villous	neoplasms by histologic type
adenomatoid tumor	neoplasms by histologic type
adenomatosis, pulmonary	neoplasms by histologic type
adenomatous polyposis coli	neoplasms by histologic type|neoplasms by site|neoplastic syndromes, hereditary|digestive system neoplasms|gastrointestinal diseases|genetic diseases, inborn
adenomatous polyps	neoplasms by histologic type
adenomyoepithelioma	neoplasms by histologic type
adenomyoma	neoplasms by histologic type
adenomyosis	female urogenital diseases
adenophorea infections	helminthiasis
adenosarcoma	neoplasms by histologic type
adenoviridae infections	dna virus infections
adenovirus infections, human	dna virus infections
adhesive capsulitis	joint diseases
adie syndrome	autonomic nervous system diseases|cranial nerve diseases|ocular motility disorders|pupil disorders|neurologic manifestations|signs and symptoms
adiposis dolorosa	skin diseases|metabolic diseases
adjustment disorders	adjustment disorders
adjuvant arthritis	joint diseases
adnexal diseases	female urogenital diseases
adnexitis	female urogenital diseases|infection
adrenal cortex diseases	adrenal gland diseases
adrenal cortex neoplasm	adrenal gland diseases|neoplasms by site|endocrine gland neoplasms
adrenal cortex neoplasms	adrenal gland diseases|neoplasms by site|endocrine gland neoplasms
adrenal gland diseases	adrenal gland diseases
adrenal gland neoplasms	adrenal gland diseases|neoplasms by site|endocrine gland neoplasms
adrenal hyperplasia, congenital	adrenal gland diseases|urogenital abnormalities|female urogenital diseases|congenital abnormalities|genetic diseases, inborn|metabolic diseases|gonadal disorders|sexual and gender disorders
adrenal insufficiency	adrenal gland diseases
adrenal rest tumor	neoplasms by histologic type
adrenocortical adenoma	adrenal gland diseases|neoplasms by site|endocrine gland neoplasms
adrenocortical carcinoma	neoplasms by histologic type|adrenal gland diseases|neoplasms by site|endocrine gland neoplasms
adrenocortical hyperfunction	adrenal gland diseases
adrenogenital syndrome	urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders
adrenoleukodystrophy	adrenal gland diseases|central nervous system diseases|demyelinating diseases|neurologic manifestations|genetic diseases, inborn|metabolic diseases|neurodegenerative diseases|signs and symptoms|mental disorders diagnosed in childhood
adult periodontitis	mouth diseases
adult respiratory distress syndrome	lung diseases|respiration disorders
adult t-cell leukemia	immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
adult t-cell leukemia-lymphoma	immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
adverse drug reaction	poisoning
aerophagy	signs and symptoms
affective disorder	mood disorders
affective disorders, psychotic	mood disorders
afferent loop syndrome	gastrointestinal diseases|pathologic processes
afibrinogenemia	hematologic diseases|genetic diseases, inborn
african horse sickness	arbovirus infections|rna virus infections
african swine fever	arbovirus infections|dna virus infections|bacterial infections|protozoan infections
african trypanosomiasis	protozoan infections
agammaglobulinemia	hematologic diseases|lymphatic diseases|immunologic deficiency syndromes|immunoproliferative disorders
agenesis of corpus callosum	nervous system malformations|congenital abnormalities|pathological conditions, anatomical
ageusia	neurologic manifestations|signs and symptoms
aggressive periodontitis	mouth diseases
aging, premature	signs and symptoms
agnosia	neurologic manifestations|signs and symptoms
agoraphobia	anxiety disorders
agranulocytosis	hematologic diseases
agraphia	neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood
aicardi syndrome	nervous system malformations|congenital abnormalities|pathological conditions, anatomical|eye diseases, hereditary|genetic diseases, inborn
aids	rna virus infections|sexually transmitted diseases|slow virus diseases|immunologic deficiency syndromes
aids arteritis, central nervous system	rna virus infections|sexually transmitted diseases|autoimmune diseases of the nervous system|central nervous system diseases|vascular diseases|immunologic deficiency syndromes|autoimmune diseases
aids dementia complex	rna virus infections|sexually transmitted diseases|central nervous system diseases|immunologic deficiency syndromes|delirium, dementia, amnestic, cognitive disorders
aids-associated nephropathy	rna virus infections|sexually transmitted diseases|urologic diseases|female urogenital diseases|immunologic deficiency syndromes
aids-related complex	rna virus infections|sexually transmitted diseases|slow virus diseases|immunologic deficiency syndromes
aids-related opportunistic infections	infection|opportunistic infections|rna virus infections|immunologic deficiency syndromes|sexually transmitted diseases
ainhum	bone diseases
airway obstruction	respiration disorders
airway remodeling	pathological conditions, anatomical
akathisia	central nervous system diseases|neurologic manifestations|signs and symptoms
akathisia, drug-induced	central nervous system diseases|neurotoxicity syndromes|signs and symptoms|poisoning|neurologic manifestations
akinetic mutism	central nervous system diseases
alagille syndrome	congenital abnormalities|biliary tract diseases|liver diseases|cardiovascular abnormalities|genetic diseases, inborn|heart diseases
albinism	eye diseases, hereditary|genetic diseases, inborn|skin diseases|metabolic diseases
albinism, ocular	eye diseases, hereditary|genetic diseases, inborn|skin diseases|metabolic diseases
albinism, oculocutaneous	eye diseases, hereditary|genetic diseases, inborn|skin diseases|metabolic diseases
albuminuria	urologic diseases|female urogenital diseases|signs and symptoms
alcohol abuse	alcohol-related disorders|substance-related disorders
alcohol amnestic disorder	neurotoxicity syndromes|alcohol-related disorders|poisoning|delirium, dementia, amnestic, cognitive disorders|substance-related disorders|neurologic manifestations|signs and symptoms
alcohol withdrawal delirium	neurotoxicity syndromes|alcohol-related disorders|poisoning|substance withdrawal syndrome|substance-related disorders
alcohol withdrawal seizures	neurologic manifestations|neurotoxicity syndromes|alcohol-related disorders|poisoning|substance withdrawal syndrome|central nervous system diseases|signs and symptoms
alcohol-induced disorder	alcohol-related disorders
alcohol-induced disorders	alcohol-related disorders
alcohol-induced disorders, nervous system	alcohol-related disorders|neurotoxicity syndromes|poisoning
alcohol-related disorders	alcohol-related disorders
alcoholic hepatitis	alcohol-related disorders|liver diseases
alcoholic intoxication	alcohol-related disorders|substance-related disorders
alcoholic liver cirrhosis	alcohol-related disorders|liver diseases
alcoholic liver disease	alcohol-related disorders|liver diseases
alcoholic neuropathy	alcohol-related disorders|neurotoxicity syndromes|poisoning|neuromuscular diseases
alcoholic psychoses	alcohol-related disorders|poisoning|schizophrenia and disorders with psychotic features|substance-related disorders|psychoses, substance-induced
alcoholism	alcohol-related disorders|substance-related disorders
aleutian mink disease	dna virus infections|slow virus diseases|immunologic deficiency syndromes|hematologic diseases
alexander disease	central nervous system diseases|demyelinating diseases|neurodegenerative diseases|genetic diseases, inborn|metabolic diseases
alexia, pure	neurologic manifestations|signs and symptoms|delirium, dementia, amnestic, cognitive disorders|mental disorders diagnosed in childhood
alice in wonderland syndrome	central nervous system diseases|neurologic manifestations|signs and symptoms|vision disorders
alien hand syndrome	neurologic manifestations|signs and symptoms
alkalosis	metabolic diseases
alkalosis, respiratory	metabolic diseases|respiration disorders|signs and symptoms
alkaptonuria	genetic diseases, inborn|metabolic diseases
allergic conjunctivitis	conjunctival diseases|hypersensitivity
allergic contact dermatitis	skin diseases|hypersensitivity
allergic eczematous dermatitis	skin diseases|hypersensitivity
allergic encephalomyelitis	autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases
allergic reaction	hypersensitivity
allergies	hypersensitivity
alopecia	skin diseases|pathological conditions, anatomical
alopecia areata	skin diseases|pathological conditions, anatomical
alpha 1-antitrypsin deficiency	pathologic processes|genetic diseases, inborn|liver diseases|lung diseases
alpha-mannosidosis	genetic diseases, inborn|metabolic diseases
alpha-thalassemia	hematologic diseases|genetic diseases, inborn
alphavirus infection	rna virus infections
alphavirus infections	rna virus infections
alstrom syndrome	congenital abnormalities|nervous system malformations|neurodegenerative diseases|neuromuscular diseases|eye diseases, hereditary|genetic diseases, inborn|retinal diseases
altered taste	neurologic manifestations|signs and symptoms
alternariosis	mycoses|infection|skin diseases
altitude sickness	respiration disorders
alveolar bone loss	bone diseases|mouth diseases
alveolitis, extrinsic allergic	lung diseases|respiratory hypersensitivity|hypersensitivity
alzheimer disease	central nervous system diseases|neurodegenerative diseases|delirium, dementia, amnestic, cognitive disorders
amaurosis fugax	neurologic manifestations|vision disorders|signs and symptoms
amblyopia	central nervous system diseases|neurologic manifestations|vision disorders|signs and symptoms
amebiasis	protozoan infections
amebic abscess	protozoan infections
amebic dysentery	protozoan infections|gastrointestinal diseases|intestinal diseases, parasitic
amebic liver abscess	infection|pathologic processes|protozoan infections|liver diseases|liver diseases, parasitic
amelanotic melanoma	neoplasms by histologic type
ameloblastoma	neoplasms by histologic type
amelogenesis imperfecta	stomatognathic system abnormalities|tooth diseases|congenital abnormalities
amenorrhea	pathologic processes
american trypanosomiasis	protozoan infections
amino acid metabolism, inborn errors	genetic diseases, inborn|metabolic diseases
amino acid transport disorders, inborn	genetic diseases, inborn|metabolic diseases
amnesia	neurologic manifestations|signs and symptoms|delirium, dementia, amnestic, cognitive disorders
amnesia, anterograde	neurologic manifestations|signs and symptoms|delirium, dementia, amnestic, cognitive disorders
amnesia, retrograde	neurologic manifestations|signs and symptoms|delirium, dementia, amnestic, cognitive disorders
amnesia, transient global	neurologic manifestations|signs and symptoms|delirium, dementia, amnestic, cognitive disorders|central nervous system diseases
amnesic shellfish poisoning	poisoning
amniotic band syndrome	infant, newborn, diseases
amphetamine abuse	amphetamine-related disorders
amphetamine-related disorders	amphetamine-related disorders
amputation, traumatic	amputation, traumatic
amyloid deposits	pathological conditions, anatomical
amyloid neuropathies	neuromuscular diseases|metabolic diseases
amyloid neuropathies, familial	neuromuscular diseases|metabolic diseases|neurodegenerative diseases|genetic diseases, inborn
amyloid plaque	pathological conditions, anatomical
amyloidosis	metabolic diseases
amyloidosis, familial	metabolic diseases|genetic diseases, inborn
amyotrophic lateral sclerosis	central nervous system diseases|neurodegenerative diseases|neuromuscular diseases|metabolic diseases
anal atresia	digestive system abnormalities|congenital abnormalities
anal cancer	gastrointestinal diseases|neoplasms by site|digestive system neoplasms
anal fissure	gastrointestinal diseases
anal gland neoplasms	neoplasms by site|digestive system neoplasms|gastrointestinal diseases
analgesic rebound headache	central nervous system diseases
anaphylactic reactions	hypersensitivity
anaphylactic shock	hypersensitivity
anaphylaxis	hypersensitivity
anaplasia	neoplastic processes|pathologic processes
anaplasmataceae infection	bacterial infections
anaplasmataceae infections	bacterial infections
anaplasmosis	bacterial infections|arbovirus infections|protozoan infections
anaplastic astrocytoma	neoplasms by histologic type
anaplastic carcinoma	neoplasms by histologic type
anastomotic leak	gastrointestinal diseases|pathologic processes
ancylostomiasis	helminthiasis
andersen syndrome	heart diseases|congenital abnormalities|pathologic processes|cardiovascular abnormalities
androgen-insensitivity syndrome	urogenital abnormalities|female urogenital diseases|congenital abnormalities|gonadal disorders|sexual and gender disorders|genetic diseases, inborn
androgenetic alopecia	skin diseases|pathological conditions, anatomical
anemia	hematologic diseases
anemia, aplastic	hematologic diseases
anemia, diamond-blackfan	hematologic diseases|genetic diseases, inborn
anemia, dyserythropoietic, congenital	hematologic diseases|genetic diseases, inborn
anemia, hemolytic	hematologic diseases
anemia, hemolytic, autoimmune	hematologic diseases|autoimmune diseases
anemia, hemolytic, congenital	hematologic diseases|genetic diseases, inborn
anemia, hemolytic, congenital nonspherocytic	hematologic diseases|genetic diseases, inborn
anemia, hypochromic	hematologic diseases
anemia, hypoplastic, congenital	hematologic diseases|genetic diseases, inborn
anemia, iron-deficiency	hematologic diseases|metabolic diseases
anemia, macrocytic	hematologic diseases
anemia, megaloblastic	hematologic diseases
anemia, myelophthisic	hematologic diseases
anemia, neonatal	hematologic diseases|infant, newborn, diseases
anemia, pernicious	hematologic diseases|nutrition disorders
anemia, refractory	hematologic diseases
anemia, refractory, with excess of blasts	hematologic diseases
anemia, sickle cell	hematologic diseases|genetic diseases, inborn
anemia, sideroblastic	hematologic diseases
anencephaly	congenital abnormalities|nervous system malformations
anetoderma	connective tissue diseases|skin diseases|congenital abnormalities
aneuploid cell	pathologic processes
aneuploidy	pathologic processes
aneurysm	vascular diseases
aneurysm, dissecting	vascular diseases
aneurysm, false	vascular diseases
aneurysm, infected	vascular diseases|infection
aneurysm, ruptured	vascular diseases
angelman syndrome	congenital abnormalities|central nervous system diseases|genetic diseases, inborn
angina	heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
angina pectoris	heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
angina pectoris, variant	heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
angina, stable	heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
angina, unstable	heart diseases|vascular diseases|signs and symptoms|neurologic manifestations
angiodysplasia	vascular diseases
angioedema	vascular diseases|skin diseases|hypersensitivity
angioedemas, hereditary	vascular diseases|skin diseases|hypersensitivity|genetic diseases, inborn
angiofibroma	neoplasms by histologic type
angioid streaks	retinal diseases
angiokeratoma	neoplasms by histologic type
angiolipoma	neoplasms by histologic type
angiolymphoid hyperplasia with eosinophilia	hematologic diseases|lymphatic diseases|skin diseases|pathologic processes|immunoproliferative disorders
angiomatosis	vascular diseases
angiomatosis, bacillary	vascular diseases|bacterial infections|infection|skin diseases
angiomyolipoma	neoplasms by histologic type
angiomyoma	neoplasms by histologic type
angiosarcoma	neoplasms by histologic type
angle-closure glaucoma	ocular hypertension
anhedonia	neurologic manifestations|signs and symptoms
animal helminthiasis	helminthiasis|parasitic diseases, animal
animal parasitic disease	parasitic diseases, animal
animal protozoan infection	parasitic diseases, animal|protozoan infections
animal salmonella infection	bacterial infections
animal toxoplasmosis	protozoan infections|parasitic diseases, animal
aniridia	eye abnormalities|eye diseases, hereditary|uveal diseases|congenital abnormalities|genetic diseases, inborn
anisakiasis	helminthiasis|intestinal diseases, parasitic|gastrointestinal diseases
aniseikonia	refractive errors
anisocoria	neurologic manifestations|pupil disorders|signs and symptoms
anisometropia	refractive errors
ankle injuries	leg injuries
ankle injury	leg injuries
ankylosing spondylitis	joint diseases|bone diseases|infection
ankylosis	joint diseases
anll	neoplasms by histologic type
anodontia	stomatognathic system abnormalities|tooth diseases|congenital abnormalities
anomia	neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood
anophthalmos	eye abnormalities|congenital abnormalities
anorexia	signs and symptoms
anorexia nervosa	eating disorders
anosmia	neurologic manifestations|signs and symptoms
anovulation	female urogenital diseases|gonadal disorders
anoxia	signs and symptoms
anoxic brain damage	central nervous system diseases
anterior capsular rupture, ocular	eye injuries
anterior compartment syndrome	muscular diseases|vascular diseases
anterior spinal artery syndrome	central nervous system diseases|vascular diseases
anterior uveitis	uveal diseases
anterior wall myocardial infarction	heart diseases|vascular diseases
anterograde amnesia	neurologic manifestations|signs and symptoms|delirium, dementia, amnestic, cognitive disorders
anthracosilicosis	lung diseases|pneumoconiosis|thoracic injuries
anthracosis	lung diseases|thoracic injuries|pneumoconiosis
anthrax	bacterial infections
anti-glomerular basement membrane disease	lung diseases|urologic diseases|female urogenital diseases|autoimmune diseases
anti-n-methyl-d-aspartate receptor encephalitis	neoplasms by site|paraneoplastic syndromes|central nervous system diseases|neurodegenerative diseases|autoimmune diseases|autoimmune diseases of the nervous system|central nervous system viral diseases|nervous system neoplasms
anti-neutrophil cytoplasmic antibody-associated vasculitis	vascular diseases|autoimmune diseases
antibiotic-associated colitis	bacterial infections|gastrointestinal diseases
anticipation, genetic	pathologic processes
anticipatory vomiting	signs and symptoms
antiphospholipid syndrome	autoimmune diseases
antisocial personality disorder	personality disorders
antithrombin iii deficiency	hematologic diseases|genetic diseases, inborn
antley-bixler syndrome phenotype	bone diseases|musculoskeletal abnormalities|congenital abnormalities|genetic diseases, inborn|metabolic diseases
anuria	urologic diseases|female urogenital diseases
anus disease	gastrointestinal diseases
anus diseases	gastrointestinal diseases
anus neoplasms	gastrointestinal diseases|neoplasms by site|digestive system neoplasms
anus, imperforate	digestive system abnormalities|congenital abnormalities
anxiety disorders	anxiety disorders
anxiety, separation	mental disorders diagnosed in childhood
aortic aneurysm	vascular diseases
aortic aneurysm, abdominal	vascular diseases
aortic aneurysm, thoracic	vascular diseases
aortic arch syndromes	vascular diseases
aortic coarctation	cardiovascular abnormalities|heart diseases|congenital abnormalities
aortic diseases	vascular diseases
aortic rupture	vascular diseases|rupture
aortic stenosis, subvalvular	heart diseases
aortic stenosis, supravalvular	heart diseases
aortic valve insufficiency	heart diseases
aortic valve prolapse	heart diseases
aortic valve stenosis	heart diseases
aortitis	vascular diseases
aortopulmonary septal defect	cardiovascular abnormalities|heart diseases|congenital abnormalities
aphakia	lens diseases
aphakia, postcataract	lens diseases
aphasia	neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood
aphasia, broca	neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood
aphasia, conduction	neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood
aphasia, primary progressive	neurologic manifestations|signs and symptoms|central nervous system diseases|delirium, dementia, amnestic, cognitive disorders|mental disorders diagnosed in childhood
aphasia, wernicke	neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood
aphonia	laryngeal diseases|neurologic manifestations|signs and symptoms
aphthous stomatitis	mouth diseases
aplastic anemia	hematologic diseases
apnea	respiration disorders|signs and symptoms
appendiceal neoplasm	neoplasms by site|digestive system neoplasms|gastrointestinal diseases
appendiceal neoplasms	neoplasms by site|digestive system neoplasms|gastrointestinal diseases
appendicitis	infection|gastrointestinal diseases
apraxia, ideomotor	neurologic manifestations|signs and symptoms
apraxias	neurologic manifestations|signs and symptoms
apudoma	neoplasms by histologic type
arachnidism	poisoning|bites and stings
arachnodactyly	musculoskeletal abnormalities|congenital abnormalities
arachnoid cysts	cysts|neoplasms by site|nervous system malformations|nervous system neoplasms|congenital abnormalities
arachnoiditis	central nervous system diseases|central nervous system infections
arbovirus infections	arbovirus infections
arc	rna virus infections|sexually transmitted diseases|slow virus diseases|immunologic deficiency syndromes
arcus senilis	corneal diseases
arenaviridae infections	rna virus infections
argininosuccinic aciduria	genetic diseases, inborn|metabolic diseases|central nervous system diseases
argyria	skin diseases|poisoning
arnold-chiari malformation	nervous system malformations|congenital abnormalities
arrhythmia	heart diseases|pathologic processes
arrhythmia, sinus	heart diseases|pathologic processes
arrhythmias, cardiac	heart diseases|pathologic processes
arrhythmogenic right ventricular dysplasia	cardiovascular abnormalities|heart diseases|congenital abnormalities
arsenic poisoning	neurotoxicity syndromes|poisoning
arterial occlusive disease	vascular diseases
arterial occlusive diseases	vascular diseases
arterio-arterial fistula	cardiovascular abnormalities|vascular diseases|congenital abnormalities|pathological conditions, anatomical
arteriolosclerosis	vascular diseases
arteriosclerosis	vascular diseases
arteriosclerosis obliterans	vascular diseases
arteriovenous fistula	cardiovascular abnormalities|vascular diseases|congenital abnormalities|pathological conditions, anatomical
arteriovenous malformations	cardiovascular abnormalities|vascular diseases|congenital abnormalities
arteritis	vascular diseases
arterivirus infections	rna virus infections
arthralgia	joint diseases|signs and symptoms|neurologic manifestations
arthritis	joint diseases
arthritis, experimental	joint diseases
arthritis, gouty	joint diseases|rheumatic diseases|genetic diseases, inborn|metabolic diseases
arthritis, infectious	joint diseases|infection
arthritis, juvenile rheumatoid	joint diseases|rheumatic diseases|connective tissue diseases|autoimmune diseases
arthritis, psoriatic	joint diseases|bone diseases|skin diseases|infection
arthritis, reactive	joint diseases|infection|bone diseases
arthritis, rheumatoid	joint diseases|rheumatic diseases|connective tissue diseases|autoimmune diseases
arthrogryposis	joint diseases|muscular diseases|musculoskeletal abnormalities|congenital abnormalities
arthropathy, neurogenic	joint diseases
arthus reaction	hypersensitivity
articulation disorders	neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood
artificial lens implant migration	lens diseases|foreign bodies
asbestosis	lung diseases|pneumoconiosis|thoracic injuries
ascariasis	helminthiasis
ascaridiasis	helminthiasis
ascaridida infections	helminthiasis
ascites	pathologic processes
ascorbic acid deficiency	nutrition disorders
aseptic meningitis	central nervous system infections|central nervous system viral diseases|central nervous system diseases|meningitis, viral
aspartylglucosaminuria	genetic diseases, inborn|metabolic diseases
asperger syndrome	mental disorders diagnosed in childhood
aspergillosis	infection|mycoses|skin diseases
aspergillosis, allergic bronchopulmonary	infection|mycoses|skin diseases|lung diseases|respiratory hypersensitivity|respiratory tract infections|hypersensitivity
aspermia	genital diseases, male|female urogenital diseases
asphyxia	asphyxia
asphyxia neonatorum	infant, newborn, diseases
aspiration pneumonia	lung diseases|respiratory tract infections
aspirin-induced asthma	bronchial diseases|lung diseases|respiratory hypersensitivity|hypersensitivity
asthenia	signs and symptoms
asthenopia	asthenopia
asthenozoospermia	genital diseases, male|female urogenital diseases
asthma	bronchial diseases|lung diseases|respiratory hypersensitivity|hypersensitivity
asthma, aspirin-induced	bronchial diseases|lung diseases|respiratory hypersensitivity|hypersensitivity
asthma, exercise-induced	bronchial diseases|lung diseases|respiratory hypersensitivity|hypersensitivity
asthma, occupational	bronchial diseases|lung diseases|respiratory hypersensitivity|hypersensitivity|asthma, occupational
astigmatism	refractive errors
astrocytoma	neoplasms by histologic type
astrocytosis	pathologic processes
astroviridae infections	rna virus infections
asymptomatic diseases	pathologic processes
asymptomatic infections	pathologic processes
ataxia	neurologic manifestations|signs and symptoms|central nervous system diseases
ataxia telangiectasia	neurologic manifestations|signs and symptoms|central nervous system diseases|neurocutaneous syndromes|vascular diseases|genetic diseases, inborn|metabolic diseases|immunologic deficiency syndromes|neurodegenerative diseases
atherogenesis	vascular diseases
atherosclerosis	vascular diseases
atherosclerotic plaque	pathological conditions, anatomical
athetosis	neurologic manifestations|signs and symptoms|central nervous system diseases
athletic injuries	athletic injuries
atll	immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
atopic dermatitis	skin diseases|genetic diseases, inborn|hypersensitivity
