drug_class_name,drug_group_name,indication
Other Anti-arrhythmics,Arrhythmias,Arrhythmias 
Anti-platelets,Thrombosis,Arterial Thrombosis
Asthma & COPD Combination Products,Asthma & COPD,Asthma
Beta-2 Agonists,Asthma & COPD,Asthma
Inhaled Steroids,Asthma & COPD,Asthma
Leukotriene Antagonists,Asthma & COPD,Asthma
Other Asthma Agents,Asthma & COPD,Asthma
Other Vaccines,Vaccine Products,asthma
Other Risk Factor Treatments,Other Cardiovascular Disorders,Atherosclerosis
Other Risk Factor Treatments,Other Cardiovascular Disorders,Atherosclerosis / Secondary Prevention
Other Atopic Dermatitis Treatments,Atopic Dermatitis,Atopic Dermatitis
Topical Immunomodulators,Atopic Dermatitis,Atopic dermatitis
Class Ic Anti-arrhythmics,Arrhythmias,Atrial fibrillation
Class III Anti-arrhythmics,Arrhythmias,Atrial fibrillation
Other Anti-arrhythmics,Arrhythmias,Atrial Fibrillation
Other Anti-arrhythmics,Arrhythmias,Atrial fibrillation 
Other Psychiatry,Other Psychiatric Disorders,Autism
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Autoimmune Disease
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,Autoimmune diseases
Immune Receptor-targeted Agents,Biologics,B-cell Malignancies
Corneal & External Eye Treatments,Corneal & External Eye Diseases,Bacterial Conjunctivitis
Corneal & External Eye Treatments,Corneal & External Eye Diseases,Bacterial conjunctivitis 
Beta-lactams / Beta-lactamase Inhibitors,Bacterial Infection,bacterial infection
Cephalosporins,Bacterial Infection,bacterial infection
Macrolides,Bacterial Infection,bacterial infection
Other Antibiotics,Bacterial Infection,bacterial infection
Penems,Bacterial Infection,bacterial infection
Quinolones,Bacterial Infection,bacterial infection
Beta-lactams / Beta-lactamase Inhibitors,Bacterial Infection,Bacterial Infections
Cephalosporins,Bacterial Infection,Bacterial infections
Macrolides,Bacterial Infection,Bacterial infections
Other Antibiotics,Bacterial Infection,Bacterial Infections
Oxazolidinones,Bacterial Infection,Bacterial Infections
Penems,Bacterial Infection,Bacterial infections
Penicillins,Bacterial Infection,Bacterial infections
Quinolones,Bacterial Infection,Bacterial infections
Quinolones,Bacterial Infection,bacterial infections including cSSSI CAP
Other Antibiotics,Bacterial Infection,bacterial skin infections
Other Antibiotics,Bacterial Infection,bacterial vaginosis
Other Targeted Small Molecules,Targeted Small Molecules,Basal Cell Carcinoma
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Batten disease
Other Anti-depressants,Depression,Bipolar Depression
Other Anti-depressants,Depression,Bipolar Disorder
Other Psychiatry,Other Psychiatric Disorders,Bipolar disorder
Atypical Anti-psychotics,Schizophrenia,Bipolar Disorder
Immunomodulators - Oncology (Biologics),Biologics,Bladder Cancer
Alkylating Agents,Cytotoxics,Bladder Cancer
Anti-neoplastic Antibiotics,Cytotoxics,Bladder Cancer
Microtubule Modulators,Cytotoxics,Bladder Cancer
Recombinant Blood Products,Blood Clotting Disorders,Bleeding
Other Cardiology Agents,Other Cardiovascular Disorders,Blood loss in cardiothoracic surgery
Parathyroid Disorder Treatments,Parathyroid Disorders,Bone Disease in Secondary Hyperparathyroidism
Other Musculoskeletal,Other Musculoskeletal Disorders,Bone Synthesis
EGF Pathway Inhibitors (Biologics),Biologics,Breast Cancer
Anti-neoplastic Antibiotics,Cytotoxics,Breast Cancer
Microtubule Modulators,Cytotoxics,Breast Cancer
Anti-estrogens,Hormonals,Breast Cancer
Aromatase Inhibitors,Hormonals,Breast Cancer
EGF Pathway Inhibitors (Small-molecule),Targeted Small Molecules,Breast Cancer
Other Targeted Small Molecules,Targeted Small Molecules,Breast Cancer
Anti-estrogens,Hormonals,Breast cancer prevention
Other Respiratory Agents,Other Respiratory Disorders,Bronchiectasis 
Other Antibiotics,Bacterial Infection,C difficile
Other Antibiotics,Bacterial Infection,C. difficile associated diarrhoea
Other Vaccines,Vaccine Products,C. Difficile-Associated Diarrhea
Growth Hormone-related Treatments,Growth Hormone Disorders,Cachexia
Angiogenesis Inhibitors (Biologics),Biologics,Cancer
EGF Pathway Inhibitors (Biologics),Biologics,Cancer
Immunomodulators - Oncology (Biologics),Biologics,Cancer
Other Targeted Biologics,Biologics,Cancer
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Cancer
BRAF/MEK Inhibitors,Targeted Small Molecules,Cancer
EGF Pathway Inhibitors (Small-molecule),Targeted Small Molecules,Cancer
Immunomodulators - Oncology (Small-molecule),Targeted Small Molecules,Cancer
Other Targeted Small Molecules,Targeted Small Molecules,Cancer
Opioid Analgesics,Pain,Cancer Pain
Other Pain,Pain,Cancer Pain
Other Musculoskeletal,Other Musculoskeletal Disorders,Cartilage Injury Repair
Wakefulness-promoting Agents,Sleep Disorders,Cataplexy
Other Allergic Rhinitis Treatments,Allergic Rhinitis,Cedar Pollen Allergy
Other Lower GI,Other Lower GI Disorders,Celiac Disease
Other Endocrinology Agents,Other Endocrinology Disorders,Central Precocious Puberty
Other Cardiology Agents,Other Cardiovascular Disorders,Cerebral vasospasm
Other Neurology,Other Neurological Disorders,Cerebrovascular Diseases
Neurotoxins,Muscle Spasticity,Cervical Dystonia
Other Anti-viral Agents,Other Viral Infections,Cervical Intraepithelial Neoplasia
Other Supportive Care,Other Supportive Care,Chemotherapy toxicity
ESAs (Oncology),Anemia (Oncology),Chemotherapy-induced Anemia
Other Supportive Care,Other Supportive Care,Chemotherapy-Induced Hyperuricemia
Anti-emetics,Nausea & Vomiting,Chemotherapy-induced Nausea and Vomiting
Other Supportive Care,Other Supportive Care,Chemotherapy-Induced Neuropathy
Bowel Dysfunction Treatments,Motility Disorders,Chronic Constipation
Gout Treatments,Gout,Chronic gout
Other Dermatology Products,Other Dermatology Disorders,Chronic hand eczema
Other Anti-hypertensives,Hypertension,Chronic heart failure
Other Dermatology Products,Other Dermatology Disorders,Chronic idiopathic urticaria
Other Anemia Treatments,Anemia,Chronic Kidney Disease
Acute / Chronic Renal Disorder Treatments,Renal Disorders,Chronic Kidney Disease
Immune Receptor-targeted Agents,Biologics,Chronic Lymphocytic Leukemia
Alkylating Agents,Cytotoxics,Chronic Lymphocytic Leukemia
Anti-metabolites,Cytotoxics,Chronic Lymphocytic Leukemia
Other Targeted Small Molecules,Targeted Small Molecules,Chronic lymphocytic leukemia
Abl Inhibitors,Targeted Small Molecules,Chronic Myeloid Leukemia
Other Targeted Small Molecules,Targeted Small Molecules,Chronic Myeloid Leukemia
Neuropathic Pain,Pain,Chronic Pain
Opioid Analgesics,Pain,Chronic Pain
Other Pain,Pain,Chronic Pain
Other Lower GI,Other Lower GI Disorders,Chronic Pancreatitis
Acute / Chronic Renal Disorder Treatments,Renal Disorders,Chronic Renal Failure
Hypnotics,Sleep Disorders,Circadian Rhythm Sleep Disorders
Other Antibiotics,Bacterial Infection,Clostridium difficile
Other Vaccines,Vaccine Products,Clostridium Difficile colitis
Other Antibiotics,Bacterial Infection,Clostridium Difficile infection
Macrolides,Bacterial Infection,Clostridium difficile infection 
Other Vaccines,Vaccine Products,Clostridium difficile infection 
Other Anti-viral Agents,Other Viral Infections,CMV
Other Anti-viral Agents,Other Viral Infections,CMV DNA vaccine
Other Anti-viral Agents,Other Viral Infections,CMV in transplant
Other Anti-viral Agents,Other Viral Infections,CMV prophylaxis
Other Psychiatry,Other Psychiatric Disorders,CNS Disorder
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,CNS Hunter Syndrome
Other Addiction Treatments,Addictions,Cocaine Addiction
Other Psychiatry,Other Psychiatric Disorders,Cognitive Impairment Associated with Schizophrenia
Atypical Anti-psychotics,Schizophrenia,Cognitive impairment associated with schizophrenia
Other Respiratory Agents,Other Respiratory Disorders,Cold and Allergy Symptoms
Anti-metabolites,Cytotoxics,Colon Cancer
Anti-neoplastic Antibiotics,Cytotoxics,Colon Cancer
Immunomodulators - Oncology (Biologics),Biologics,Colon Tumor
Angiogenesis Inhibitors (Biologics),Biologics,Colorectal Cancer
EGF Pathway Inhibitors (Biologics),Biologics,Colorectal Cancer
Immunomodulators - Oncology (Biologics),Biologics,Colorectal Cancer
Alkylating Agents,Cytotoxics,Colorectal Cancer
Anti-metabolites,Cytotoxics,Colorectal Cancer
Anti-neoplastic Antibiotics,Cytotoxics,Colorectal Cancer
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Colorectal Cancer
Other Targeted Small Molecules,Targeted Small Molecules,Colorectal Cancer
Other Nephrology Treatments,Renal Disorders,Complications in ESRD and CKD
Other Endocrinology Agents,Other Endocrinology Disorders,Complications in Lipodystrophy
Recombinant Blood Products,Blood Clotting Disorders,Congenital FXIII Deficiency
Bowel Dysfunction Treatments,Motility Disorders,Constipation
IBS Treatments,Motility Disorders,Constipation
Iron Chelators,Iron Overload,Contrast-induced Nephropathy
Anti-cholinergics,Asthma & COPD,COPD
Asthma & COPD Combination Products,Asthma & COPD,COPD
Beta-2 Agonists,Asthma & COPD,COPD
Other Asthma Agents,Asthma & COPD,COPD
Other COPD Agents,Asthma & COPD,COPD
Other Risk Factor Treatments,Other Cardiovascular Disorders,Coronary Artery Disease
Other Respiratory Agents,Other Respiratory Disorders,Cough
Immunomodulators - IBD,Inflammatory Bowel Disease,Crohn's Disease
Other IBD Treatments,Inflammatory Bowel Disease,crohn's disease
Other Rheumatic Disease Agents,Rheumatic Diseases,Cryopyrin-associated periodic syndromes
Other Antibiotics,Bacterial Infection,cSSSI and BSI
Other Antibiotics,Bacterial Infection,cSSSI and cIAI and CAP
Other Antibiotics,Bacterial Infection,cSSSIs and BSI
Other Antibiotics,Bacterial Infection,cSSSIs HAP
Growth Hormone-related Treatments,Growth Hormone Disorders,Cushing's Disease
Other Dermatology Products,Other Dermatology Disorders,Cutaneous Lupus
Other Rheumatic Disease Agents,Rheumatic Diseases,cutaneous lupus erythematosus
Alkylating Agents,Cytotoxics,Cutaneous T-cell Lymphoma
Other Cytotoxics,Cytotoxics,Cutaneous T-cell Lymphoma
Other Targeted Small Molecules,Targeted Small Molecules,Cutaneous T-cell Lymphoma
Immune Receptor-targeted Agents,Biologics,Cutaneous T-cell Lymphoma 
Other Lipid-modifying Agents,Lipid Disorders,CV Disease
Other Risk Factor Treatments,Other Cardiovascular Disorders,CV Disease - P selectin huMAb
Other Antibiotics,Bacterial Infection,Cystic fibrosis
Cystic Fibrosis Treatments,Cystic Fibrosis,Cystic Fibrosis
Immunomodulators - Psoriasis,Psoriasis,cytokine modulator for Psoriasis
Other Alzheimers Disease Agents,Alzheimer's Disease,Dementia
Other Vaccines,Vaccine Products,Dengue Fever
Noradrenergics,Depression,Depression
Other Anti-depressants,Depression,Depression
Serotonergics,Depression,Depression
Other Anti-depressants,Depression,Depression 
Other Dermatology Products,Other Dermatology Disorders,Dermal scarring
Insulins,Diabetes,Diabetes
Other Diabetes Agents,Diabetes,Diabetes
PPAR Modulators,Diabetes,Diabetes
SGLT Inhibitors,Diabetes,Diabetes
Other Diabetes Agents,Diabetes,Diabetic Complications
Other Ophthalmology Treatments,Other Ophthalmic Disorders,Diabetic Macular Edema
Other Diabetes Agents,Diabetes,Diabetic nephropathy
Acute / Chronic Renal Disorder Treatments,Renal Disorders,Diabetic Nephropathy
Other Diabetes Agents,Diabetes,Diabetic Neuropathy
Neuropathic Pain,Pain,Diabetic Neuropathy
Bowel Dysfunction Treatments,Motility Disorders,Diarrhea
Pediatric Vaccines,Vaccine Products,diphtheria tetanus pertussis polio Hib HBV
Pediatric Vaccines,Vaccine Products,diphtheria tetanus pertussus polio Hib HBV
Other Neurology,Other Neurological Disorders,Down Syndrome
Anti-convulsants,Epilepsy,Dravet Syndrome
Dry AMD Treatments,AMD,Dry AMD
Corneal & External Eye Treatments,Corneal & External Eye Diseases,Dry Eye
Pediatric Vaccines,Vaccine Products,DTaP
Pediatric Vaccines,Vaccine Products,DTaP and polio
Other Vaccines,Vaccine Products,DTaP prophylaxis
Other Musculoskeletal,Other Musculoskeletal Disorders,Duchenne Muscular Dystrophy
Other Targeted Small Molecules,Targeted Small Molecules,Duplicate
Other Musculoskeletal,Other Musculoskeletal Disorders,Dupuytren's Disease
Other Allergic Rhinitis Treatments,Allergic Rhinitis,Dust Mite Allergy
Fibrates,Lipid Disorders,Dyslipidemia
Other Lipid-modifying Agents,Lipid Disorders,Dyslipidemia
Statins,Lipid Disorders,Dyslipidemia
Other Lipid-modifying Agents,Lipid Disorders,Dyslipidemia - CETP inhibitor
Topical Immunomodulators,Atopic Dermatitis,Eczema and psoriasis
Other Supportive Care,Other Supportive Care,EGFR Inhibitor-induced Rash
Contraceptives,Contraception,Emergency contraception
Travel Vaccines,Vaccine Products,encephalitis
Other Endocrinology Agents,Other Endocrinology Disorders,Endocrine Disorders
Other Womens Health,Other Women's Health Disorders,Endometriosis
Anti-convulsants,Epilepsy,Epilepsy
Erectile Dysfunction Treatments,Erectile Dysfunction,Erectile dysfunction
Other Supportive Care,Other Supportive Care,Essential Thrombocythemia 
Menopausal Treatments,Menopausal Symptoms,Estrogen deficiency
Wakefulness-promoting Agents,Sleep Disorders,Excessive daytime sleepiness
Wakefulness-promoting Agents,Sleep Disorders,Excessive Sleepiness Associated with Narcolepsy
,,
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Fabry Disease
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Fabry's Disease
Other Risk Factor Treatments,Other Cardiovascular Disorders,Familial Amyloid Cardiomyopathy
Contraceptives,Contraception,Female contraception
Other Dermatology Products,Other Dermatology Disorders,Female hirsutism
Infertility Treatments,Infertility,Female infertility
Neuropathic Pain,Pain,Fibromyalgia
Immune Receptor-targeted Agents,Biologics,Follicular Lymphoma
Other Neurology,Other Neurological Disorders,Fragile X Syndrome
Other Neurology,Other Neurological Disorders,Friedreich's ataxia
Bowel Dysfunction Treatments,Motility Disorders,Functional Bowel Disorder
Other GERD/PUD Agents,GERD/PUD,Functional Dyspepsia
Azoles,Fungal Infection,fungal infection
Echinocandins,Fungal Infection,fungal infection
Other Anti-fungals,Fungal Infection,fungal infection
Azoles,Fungal Infection,fungal infections
Other Dermatology Products,Other Dermatology Disorders,Fungal skin infections
Angiogenesis Inhibitors (Biologics),Biologics,Gastric Cancer
EGF Pathway Inhibitors (Biologics),Biologics,Gastric Cancer
Other Targeted Biologics,Biologics,Gastric Cancer
Anti-metabolites,Cytotoxics,Gastric Cancer
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Gastric Cancer
EGF Pathway Inhibitors (Small-molecule),Targeted Small Molecules,Gastric Cancer
Other GERD/PUD Agents,GERD/PUD,Gastric Ulcers
Other GERD/PUD Agents,GERD/PUD,Gastritis
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Gastrointestinal Stromal Tumors
Bowel Dysfunction Treatments,Motility Disorders,Gastroparesis
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Gaucher's Disease
Wet AMD Treatments,AMD,Geographic atrophy in AMD
Wet AMD Treatments,AMD,Geographic Retinal Atrophy
Other GERD/PUD Agents,GERD/PUD,GERD
Proton Pump Inhibitors,GERD/PUD,GERD
Proton Pump Inhibitors,GERD/PUD,GERD / PUD
Glaucoma Treatments,Glaucoma,Glaucoma
Glaucoma Treatments,Glaucoma,Glaucoma 
EGF Pathway Inhibitors (Biologics),Biologics,Glioblastoma
Immunomodulators - Oncology (Biologics),Biologics,Glioblastome Multiforme
Alkylating Agents,Cytotoxics,Glioma
Obesity Treatments,Obesity,GLP1 agonist for Obesity
Gout Treatments,Gout,Gout
Beta-lactams / Beta-lactamase Inhibitors,Bacterial Infection,Gram-negative pathogens
Other Antibiotics,Bacterial Infection,Gram-Negative Pneumonia
Other Antibiotics,Bacterial Infection,gram-positive cSSSI and BSI including MRSA
Other Antibiotics,Bacterial Infection,Gram-positive cSSSI and S aureus BSI
Other Antibiotics,Bacterial Infection,Gram-positive infectioins
Other Antibiotics,Bacterial Infection,Gram-positive infections
Quinolones,Bacterial Infection,gram-positive pathogens
Other Supportive Care,Other Supportive Care,Granulocytopenia
Other Allergic Rhinitis Treatments,Allergic Rhinitis,Grass Pollen Allergy
Growth Hormone-related Treatments,Growth Hormone Disorders,Growth Disorders
Growth Hormone-related Treatments,Growth Hormone Disorders,Growth Hormone Disorders
Other MS Treatments,Multiple Sclerosis,H3 Receptor Antagonist for Multiple Sclerosis
Influenza Vaccines,Vaccine Products,H5N1 influenza vaccine
Influenza Vaccines,Vaccine Products,H5N1 pandemic influenza
Immune Receptor-targeted Agents,Biologics,Hairy Cell Leukemia
Other Antibiotics,Bacterial Infection,HAP
EGF Pathway Inhibitors (Biologics),Biologics,Head & Neck Cancer
Alkylating Agents,Cytotoxics,Head & Neck Cancer
Other Cytotoxics,Cytotoxics,Head & Neck Cancer
Immunomodulators - Oncology (Biologics),Biologics,Head and Neck Cancer
Other Anti-hypertensives,Hypertension,Heart failure
Other Cardiology Agents,Other Cardiovascular Disorders,Heart Failure
Other Risk Factor Treatments,Other Cardiovascular Disorders,Heart failure
Other Cardiology Agents,Other Cardiovascular Disorders,Heart failure - Acute
Other Cardiology Agents,Other Cardiovascular Disorders,Heart Failure - Acute 
Other Risk Factor Treatments,Other Cardiovascular Disorders,Heart failure - Chronic 
Immune Receptor-targeted Agents,Biologics,Hematological Malignancies
Alkylating Agents,Cytotoxics,Hematological Malignancies
Anti-metabolites,Cytotoxics,Hematological malignancies
Other Targeted Small Molecules,Targeted Small Molecules,Hematological Malignancies
Other Targeted Small Molecules,Targeted Small Molecules,Hematological tumors
Other Cardiology Agents,Other Cardiovascular Disorders,Hemodialysis Access
Recombinant Blood Products,Blood Clotting Disorders,Hemophilia
Recombinant Blood Products,Blood Clotting Disorders,Hemophilia A
Recombinant Blood Products,Blood Clotting Disorders,Hemophilia A and B
Recombinant Blood Products,Blood Clotting Disorders,Hemophilia B
Recombinant Blood Products,Blood Clotting Disorders,Hemophilia B 
Recombinant Blood Products,Blood Clotting Disorders,Hemophilia with Inhibitors
Other Lower GI,Other Lower GI Disorders,Hemorrhoids
Recombinant Blood Products,Blood Clotting Disorders,Hemostasis
Recombinant Blood Products,Blood Clotting Disorders,Hepatic porphyria
Immunomodulators - Hepatitis,Hepatitis,Hepatitis
Immunomodulators - Hepatitis,Hepatitis,Hepatitis B
Nucleoside Analogs,Hepatitis,Hepatitis B
Hepatitis Vaccines,Vaccine Products,Hepatitis B
Immunomodulators - Hepatitis,Hepatitis,Hepatitis B 
NRTIs,HIV,"Hepatitis B, HIV"
HCV Polymerase Inhibitors,Hepatitis,Hepatitis C
HCV Protease Inhibitors,Hepatitis,Hepatitis C
Immunomodulators - Hepatitis,Hepatitis,Hepatitis C
NS5A inhibitors,Hepatitis,Hepatitis C
Nucleoside Analogs,Hepatitis,Hepatitis C
Other Hepatitis Treatments,Hepatitis,Hepatitis C
NS5A inhibitors,Hepatitis,Hepatitis C 
Immunomodulators - Hepatitis,Hepatitis,Hepatitis C and Hepatitis B
Other Hepatitis Treatments,Hepatitis,Hepatitis C and Hepatitis B
NS5A inhibitors,Hepatitis,Hepatitis C virus infection
Immunomodulators - Oncology (Biologics),Biologics,Hepatocellular Carcinoma
Other Targeted Biologics,Biologics,Hepatocellular carcinoma
Alkylating Agents,Cytotoxics,Hepatocellular Carcinoma
Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Hepatocellular Carcinoma
Other Targeted Small Molecules,Targeted Small Molecules,Hepatocellular Carcinoma
Other Endocrinology Agents,Other Endocrinology Disorders,Hereditary Angioedema
Other Dermatology Products,Other Dermatology Disorders,Herpes simplex infection
Herpes Treatments,Herpes Infection,Herpes zoster and H simplex
Other Vaccines,Vaccine Products,herpes zoster prevention
Pediatric Vaccines,Vaccine Products,Hib vaccine
Integrase Inhibitors,HIV,HIV
NNRTIs,HIV,HIV
NRTIs,HIV,HIV
Other HIV Treatments,HIV,HIV
Protease Inhibitors,HIV,HIV
Single Tablet Regimens,HIV,HIV
Other Vaccines,Vaccine Products,HIV
NRTIs,HIV,HIV and Hepatitis B
Other Vaccines,Vaccine Products,HIV prophylaxis
NNRTIs,HIV,HIV treatment
Other HIV Treatments,HIV,HIV treatment
Immune Receptor-targeted Agents,Biologics,Hodgkin's Lymphoma
Other Antibiotics,Bacterial Infection,Hospital-acquired pneumonia
Other Vaccines,Vaccine Products,HPV
Other Anti-viral Agents,Other Viral Infections,HPV lesions
Other Womens Health,Other Women's Health Disorders,HSDD
Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,humanized VLA-1 mAb for Rheumatoid Arthritis
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Hunter Syndrome
Huntingtons Disease Treatments,Huntington's Disease,Huntington's Disease
Lysosomal Storage Disorder Treatments,Lysosomal Storage Disorders,Hurler Syndrome
ACE Inhibitors,Hypertension,Hyertension
Bone-resorption Inhibitors,Other Supportive Care,Hypercalcemia of Malignancy
Other Lipid-modifying Agents,Lipid Disorders,Hypercholesterolemia
Other Lipid-modifying Agents,Lipid Disorders,Hypercholesterolemia - PCSK9 inhibitor
Acute / Chronic Renal Disorder Treatments,Renal Disorders,Hyperkalemia
Other Lipid-modifying Agents,Lipid Disorders,Hyperlipoproteinemia 
Phosphate Regulators,Renal Disorders,Hyperphosphatemia
Phosphate Regulators,Renal Disorders,Hyperphosphatemia 
ACE Inhibitors,Hypertension,Hypertension
Angiotensin II Antagonists,Hypertension,Hypertension
Beta-blockers,Hypertension,Hypertension
Calcium Antagonists,Hypertension,Hypertension
Other Anti-hypertensives,Hypertension,Hypertension
ACE Inhibitors,Hypertension,Hypertension 
Beta-blockers,Hypertension,Hypertension 
Calcium Antagonists,Hypertension,hypertension - hypercholesterolemia
Thyroid Disorder Treatments,Thyroid Disorders,Hyperthyroidism
Other Lipid-modifying Agents,Lipid Disorders,Hypertriglyceridemia
Other Lipid-modifying Agents,Lipid Disorders,Hypertriglyceridemia 
Other Diabetes Agents,Diabetes,Hypoglycemia
Men's Hormone Replacement Therapy,Low Testosterone,hypogonadism
Other Risk Factor Treatments,Other Cardiovascular Disorders,Hyponatremia
Other Endocrinology Agents,Other Endocrinology Disorders,Hypophosphatasia
Phosphate Regulators,Renal Disorders,Hypophosphatemic Rickets
Thyroid Disorder Treatments,Thyroid Disorders,Hypothyroidism
ACE Inhibitors,Hypertension,Hyptertension
Angiotensin II Antagonists,Hypertension,Hyptertension
IBS Treatments,Motility Disorders,IBS
IBS Treatments,Motility Disorders,IBS-C
IBS Treatments,Motility Disorders,IBS-D
Pulmonary Fibrosis Treatments,Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis
Thrombocytopenia Agents,Thrombocytopenia,idiopathic thrombocytopenic purpura
Other Diabetes Agents,Diabetes,Ileal bile acid transfer inhibitor for Type II Diabetes
Thrombocytopenia Agents,Thrombocytopenia,Immune Thrombocytopenia
