id	molecule_name	technology_id
572	micafungin	3
573	PKC412	3
574	milnacipran	3
575	milveterol	3
576	minodronate	3
577	mipomersen	7
578	mirabegron	3
579	mirtazapine	3
580	mitemcinal	3
581	Modified-release nicotinic acid  + laropiprant + simvastatin	3
582	MK-5442	NULL
583	MMR + varicella vaccine	8
584	MnB rLp2086	NULL
585	modafinil	3
586	mometasone + formoterol	3
587	mometasone + indacaterol	3
588	mometasone + oxymetazoline	3
589	mometasone furoate	3
590	montelukast	3
591	montelukast + mometasone	3
592	morphine - extended release	3
593	morphine - extended release	3
595	motavizumab	5
597	moxidectin	NULL
598	moxifloxacin	3
599	moxonidine	3
601	mycophenolic acid	3
602	nab-paclitaxel	3
603	nadroparin	2
604	nalmefene	3
605	naltrexone depot	3
606	naltrexone + bupropion	3
608	nartograstim	4
609	fentanyl - nasal	3
611	nateglinide	3
612	nebivolol	3
613	nelarabine	3
614	neratinib	3
615	LY-2216684	3
616	nerispirdine	NULL
617	nesiritide	3
618	nevirapine	3
619	Extended-release niacin	3
620	Extended-release niacin  +  lovastatin	3
621	Extended-release niacin  +  simvastatin	3
622	nicardipine 	3
623	nicergoline	3
624	nicorandil	3
625	nifedipine	3
626	nilotinib	3
627	nimotuzumab	5
628	nomegestrol + estrogen	3
629	NV1FGF	6
630	Obesity compound	NULL
631	ocrelizumab	5
633	octreotide	2
634	odanacatib	3
635	oestradiol valerate + dienogest	3
636	Oestrogen receptor beta agonist	5
637	ofatumumab	5
638	ofloxacin	3
639	olanzapine	3
640	olanzapine  +  fluoxetine	3
641	olapatadine	3
642	olmesartan	3
643	olmesartan + amlodipine	3
644	olopatadine	3
645	omalizumab	5
646	omega-3-acid ethyl ester concentrate	3
647	omeprazole	3
648	omeprazole + sodium bicarbonate	3
649	ondansetron	3
650	orlistat	3
651	orvepitant	3
652	oseltamivir	3
653	ostarine	3
654	otamixaban	3
655	otelixizumab	5
656	other vaccines	8
657	oxaliplatin	3
658	oxcarbazepine	3
659	oxybutynin	3
660	oxycodone	3
661	oxycodone + acetaminophen	3
662	oxymorphone	3
663	BAY-80-6946	3
664	paclitaxel	3
665	paclitaxel poliglumex	NULL
666	paediatric vaccine	8
668	paliperidone	3
669	paliperidone palmitate IM long acting injectable	NULL
670	palivizumab	5
671	palonosetron	3
672	R667	3
673	pancreatin	3
675	panipenem	3
676	panitumumab	5
677	LBH589	3
678	pantoprazole	3
679	paricalcitol	3
680	paroxetine	3
681	SOM230	2
682	patupilone	3
685	pegfilgrastim	4
687	peg-interferon alpha 2b	4
688	peg-interferon lambda	4
689	pegvisomant	4
691	pemetrexed	3
692	perindopril	3
696	picoplatin	3
697	pilsicainide	3
698	pimecrolimus	3
699	pioglitazone	3
701	piracetam	3
702	pirfenidone	3
703	pitavastatin	3
704	pleconaril	NULL
705	plerixafor	3
706	Streptococcus pneumonia	8
707	Pneumococcal vaccine	8
708	polysaccharide-K	3
709	posaconazole	3
710	posaconazole (I.V.)	NULL
713	pramipexole	3
714	pramlintide	2
716	pranlukast	3
718	pravastatin	3
719	pregabalin	3
720	preladenant	3
721	progesterone	3
722	progestogen dienogest	3
723	prolonged-release melatonin	3
724	propafenone	3
725	propofol	3
726	Pseudomonas aeuriginosa vaccine	8
727	quetiapine	3
728	quinapril	3
730	rabeprazole	3
731	Rabies	5
734	raltegravir	3
735	ramelteon	3
736	ramipril	3
737	ramosetron	3
738	ramucirumab	5
739	ranibizumab	5
741	ranitidine	3
742	ranolazine	3
743	rasagiline	3
744	rasburicase	4
745	rebamipide	3
746	nonacog alfa	4
747	octocog alfa	4
748	follitropin alfa	4
749	recombinant follitropin alfa + recombinant human luteinizing hormone	4
750	recombinant human albumin	4
751	thrombin alfa	4
752	recombinant insulin	4
753	recombinant thyrotropin alpha	4
754	remogliflozin	3
755	repaglinide	3
756	retapamulin	3
757	retigabine	3
758	retosiban	3
764	ribavirin	3
765	rifaximin	3
766	rilapladib	3
767	rilpivirine	3
768	rimonabant	3
769	riociguat	3
770	risedronate	3
771	risperidone	3
772	ritonavir	3
773	rituximab	5
774	rivaroxaban	3
775	rivastigmine	3
776	rivoglitazone	3
777	rizatriptan	3
778	robatumumab	5
779	rocuronium bromide	3
780	rofecoxib	3
782	rolapitant	NULL
784	romiplostim	5
785	ronacaleret	NULL
786	ropinirole	3
787	rosiglitazone	3
789	rosiglitazone + metformin	3
790	rosiglitazone XR	NULL
791	rosuvastatin	3
792	rotavirus vaccine	8
793	rotigotine	3
794	somatropin	4
795	ruboxistaurin	3
796	rufinamide	3
797	S. pneumoniae (adult)	NULL
798	NW-1015	3
799	sagopilone	3
800	salbutamol	3
801	salbutamol + ipratropium bromide	3
802	salmeterol	3
803	salmeterol + fluticasone propionate	3
804	salmon calcitonin	2
806	saquinavir	3
807	saredutant	3
808	sarpogrelate	3
810	SCH-530348	3
811	romosozumab	5
812	SD-6010	3
813	Seasonal inluenza vaccine	8
815	sertindole	3
816	sertraline	3
817	sevelamer hydrochloride / sevelamer carbonate	3
818	sevoflurane	3
819	sibutramine	3
820	sildenafil	3
821	silodosin	3
822	simvastatin	3
823	simvastatin + ezetimibe	3
824	sipuleucel-T	9
825	sirolimus	3
826	sitafloxacin	3
827	sitagliptin	3
828	sitagliptin + metformin / sitagliptin + metformin XR	3
829	sitamaquine	NULL
830	sitaxentan	3
831	SLV 308	3
832	SM-13496	3
833	sodium oxybate	3
834	sodium valproate	3
835	sofinicline	3
836	solabegron	3
837	solifenacin	3
838	solifenacin/tamsulosin	3
839	somatropin	4
840	sorafenib	3
841	sotrastaurin	3
842	Staph Vaccine	NULL
843	stavudine	3
844	pneumococcal vaccine	8
845	strontium ranelate	3
846	sugammadex sodium	3
847	Sulopenem	3
848	sulpiride	3
849	sumatriptan	3
850	sumatriptan + naproxen	3
851	sunitinib	3
852	tacrolimus	3
853	tadalafil	3
854	tafenoquine	3
856	talampanel	3
857	talmapimod	3
858	taltirelin	3
859	tamoxifen	3
860	tamsulosin	3
861	tandutinib	3
862	tanespimycin	3
863	tanezumab	5
864	tapentadol	3
865	tasisulam	3
867	tazarotene	3
868	teceleukin	4
869	tedisamil	3
870	tegaserod	3
872	telavancin	3
873	telbivudine	3
874	telcagepant	3
875	telithromycin	3
876	telmisartan	3
877	temozolomide	3
878	temsirolimus	3
879	tenecteplase	4
880	tenofovir	3
881	tenofovir disoproxil + emtricitabine	3
882	teplizumab	5
883	teprenone	3
884	terbinafine	3
885	teriflunomide	3
886	teriparatide	2
887	tesamorelin	4
888	testosterone gel	3
890	thalidomide	3
891	theophylline	3
892	thrombin	4
893	thyroid preparations	3
894	tiagabine	3
895	tibolone	3
896	ticagrelor	3
897	ticlopidine	3
898	tigecycline	3
899	timolol	3
900	tiotropium	3
901	tiotropium + BI-1744	3
902	tiotropium + salmeterol	3
903	tipifarnib	3
904	tipranavir	3
906	tobramycin	3
909	topiramate	3
910	topotecan	3
911	totrombopag	3
912	trabectedin	3
913	tramadol / tramadol + acetaminophen	3
914	trandolapril	3
915	fentanyl - transdermal	3
916	transdermal lidocaine	3
917	transdermal oxybutynin	3
918	Acref	3
919	trastuzumab	5
921	travel vaccine	8
922	travoprost	3
923	tremelimumab	5
924	treprostinil	3
925	tretinoin	3
926	triamcinolone acetonide	3
927	triptorelin	2
929	TroVax	8
930	Tuberculosis	NULL
931	urapidil	3
932	ursodesoxycholic acid	3
933	ustekinumab	5
935	valaciclovir	3
936	valganciclovir	3
937	valproate semi-sodium	3
938	valsartan	3
940	valsartan + amlodipine	3
941	vancomycin	3
942	vandetanib	3
943	vardenafil	3
944	varenicline	3
945	varicella zoster vaccine	8
946	Varicella Zoster virus	NULL
948	vedolizumab	5
950	Velcalcetide	2
951	venlafaxine	3
952	verapamil	3
953	vernakalant hydrochloride	3
954	verteporfin	3
955	vicriviroc	3
956	vigabatrin	3
957	vilazodone	3
958	vildagliptin / vildagliptin + metformin	3
959	vinflunine	3
960	vinorelbine	3
961	vitamin B	3
962	voglibose	3
963	volinanserin	3
964	voriconazole	3
965	voriconazole / anidulafungin	3
966	vorinostat	3
967	warfarin	2
968	West Nile	NULL
969	xaliproden	NULL
970	cabozantinib	3
973	YM 443	3
974	YM-150	4
975	zafirlukast	3
976	zaleplon	3
977	zibotentan	3
978	zidovudine  +  lamivudine	3
979	ziprasidone	3
980	zoledronate	3
982	zolmitriptan	3
983	zolpidem	3
984	zonisamide	3
985	zybrestat	3
986	PEG-epoetin beta	4
987	palifermin	4
988		4
990	balugrastim	4
991	BEA-2180-BR	3
992	TMC310911	3
993	tasocitinib	3
994	642444	3
995	anti-CD38 MAb	5
996	AMG 172	5
997	paritaprevir	3
1000	bazedoxifene + conjugated oestrogens	3
1001	tocilizumab	5
1002	arzoxifene	3
1004	eltrombopag 	3
1005	agatolimod	3
1007		NULL
1008		NULL
1009	PF-3654746	3
1010		NULL
1011	PF-4360365	5
1012		NULL
1013		NULL
1014		NULL
1015	PH-797804	3
1016	gepirone ER	NULL
1017	mepolizumab	5
1018		NULL
1020	BHQ880	5
1021		NULL
1022		3
1023	Other Smoking Cessation Agents	3
1024	Other Addiction Agents	3
1025	Other Alcohol Dependence Agents	3
1026		3
1027		3
1028		NULL
1029		NULL
1030		3
1031		3
1032		3
1033		3
1034		3
1035		3
1036		3
1037		NULL
1038		5
1039	AZD2516	3
1040	minodronate	3
1041	Other Wakefulness-promoting Agents	3
1043	PEGylated interferon	4
1045	galunisertib	3
1048	AME-133v	5
1049		3
1050	moxetumomab pasudotox	5
1051	siltuximab	5
1053	navitoclax	3
1066		NULL
1067	ASP2905	NULL
1068	TC-6683	3
1069	1034702	3
1070		NULL
1071		NULL
1073		NULL
1074	begacestat	NULL
1075		NULL
1076		NULL
1077		NULL
1078		3
1079		3
1080		3
1084		3
1085		3
1087		3
1088		3
1089		3
1090		3
1091		3
1092		3
1093		3
1094		3
1095		3
1096		3
1097		3
1098		3
1099		3
1100		8
1101		8
1102		8
1103		8
1104		8
1105		3
1106		3
1107		NULL
1108		5
1109	pertuzumab	5
1111		3
1114	NIC002	8
1115	1014802	3
1116		NULL
1117	suvorexant	3
1118		NULL
1119	MK-8998	3
1120		3
1121	MK-0594	NULL
1122	MK-8368	NULL
1124	SEP-225289	3
1125	SEP-227162	3
1126	SEP-228432	3
1127	tapentadol	3
1128		NULL
1129		NULL
1130		NULL
1131	transdermal felbinac	3
1132	AZD2281	3
1134	AMG 208	3
1135	capecitabine	3
1136	lumiliximab	NULL
1137	M200	NULL
1139		NULL
1140		NULL
1141	T-62	3
1142		NULL
1143		NULL
1144	lestaurtinib	3
1145	CEP-11981	3
1146	CEP-9722	3
1147	CEP-18770	3
1150	totrombopag 	3
1151	GSK 1278863	3
1153	dexamethasone	3
1154		3
1155	briakinumab	5
1156	vatreptacog alfa	4
1157	rFVIIa long acting	4
1159	motesanib	3
1160	turoctocog alfa	4
1161	rFVIIa	4
1163	rFVIIa	4
1164	SBR759	3
1165		3
1166	pixantrone	3
1167		NULL
1168	CS-0777	3
1169	raloxifene	3
1170	Fenofibric acid + rosuvastatin	3
1171		3
1172	epoetin / darbepoetin alfa	4
1173	SAR110894D	3
1174	amrubicin	3
1175	retaspimycin hydrochloride	3
1176		3
1177	EZN-2208	3
1178	HSP90 Inhibitor	3
1179		NULL
1180		NULL
1182	methotrexate	3
1183	SMP-986	3
1184	hyaluronic acid	3
1185	YM311	3
1186	PI3K/mTOR dual inhibitor	3
1188		NULL
1189	laninamivir	3
1190		3
1191	MT203	5
1193	golimumab	5
1194		NULL
1195		NULL
1196	coleneuramide	3
1197	MP-435	3
1198	TA-5493	3
1199	dimethylfumarate and monoethylfumarate salts	3
1200	ONO-5334	3
1201	epalrestat	3
1202	testosterone undecanoate	3
1203		NULL
1204		3
1206	CC-11050	3
1207	JNK-930	NULL
1208	sotatercept	5
1209	cabazitaxel	3
1210	pomalidomide	3
1211	capsaicin	3
1213	darinaparsin	3
1214	ABT-751	3
1215	tamibarotene	3
1216	fludarabine phosphate	3
1217		3
1218	alemtuzumab	5
1219		3
1221		NULL
1222	fostamatinib	3
1223		NULL
1225	anti-glypican MAb	5
1227	atiratecan	3
1228	RG1583	2
1230	Anti-CD4	5
1231	RG3637	5
1232	Anti-oxLDL	5
1233	Apomab	5
1234	huMAb OX40L	5
1235	IAP antagonist	3
1236	MEK inhibitor	3
1237	MetMAb / anti-cMet	5
1238	RG7321	3
1240	Inclacumab	5
1241		5
1243	11 beta HSD inhibitor	3
1244	Y2R peptide agonist	2
1245	VPAC2 agonist	3
1246		3
1247		3
1248	danoprevir	3
1249		NULL
1250	fezakinumab	5
1251	11 beta HSD inhibitor	3
1252	Anti-NRP1	5
1253	rhuMAb beta7	5
1255	RG-7416	5
1257	BHT-3021	8
1258	ABT-869	3
1259	RG7414	5
1260	GDC-0980	3
1261	IGF-IR MAb	5
1262	RG1578	3
1263	P2X3 antagonist	3
1264	bitopertin	3
1265	MVA-HPV-IL2	8
1266	MEM3454	3
1267	vismodegib	3
1268	G secretase inhibitor	3
1269		3
1270	IGF1 PEG	4
1271	MDM2 antagonist	3
1272	huMAb EGFR	5
1273	MEK inhibitor	3
1274	vemurafenib	3
1275	CKI27	3
1276	RG7334	5
1277		3
1279	serine palmitoyltransferase inhibitor	3
1280	bazedoxifene	3
1281		NULL
1282		NULL
1283		3
1285	naproxen + esomeprazole	3
1286	cetirizine	3
1287	RG7415	5
1288		3
1289		3
1290		NULL
1291	dapoxetine	3
1292		3
1293		3
1294	hyperglycosolated follicle stimulating hormone	4
1296	epirubicin / doxorubicin	3
1297		3
1298	elvitegravir / cobicistat / tenofovir / emtricitabine FDC	3
1299		3
1300		3
1301		3
1302	cicletanine	3
1303		3
1304		3
1305	GS-9411	3
1309	estradiol	3
1310	Other AChEIs	3
1311	fentanyl buccal film	3
1312		4
1317	Other Dopaminergics	3
1318		3
1319		3
1320	gabapentin enacarbil	3
1321	lixisenatide	2
1322		NULL
1323		4
1324	rilotumumab	5
1325		3
1326	darapladib	3
1328		NULL
1329	rosiglitazone + glimepiride	3
1330		3
1331	melphalan	3
1335	oxaliplatin	3
1336	Other Triptans	3
1337		3
1338		5
1339	velneperit	3
1340	aprepitant / fosaprepitant	3
1341	saxagliptin	3
1343		3
1344		4
1345		3
1346	bupropion	3
1348	Other Noradrenergics	3
1349	cilengitide	2
1350	octaparine	4
1351	sitagliptin	3
1353	belimumab	5
1354	B7RP-1 inhibitor	5
1355	AMG 811	5
1356	CNTO 136	5
1357		4
1358	olaratumab	5
1360		3
1362	315234	5
1364	AMG 108	5
1365	AMG 191	5
1366	AMG 827	5
1367	Other NSAIDs	3
1368		3
1369	AZD2066	3
1370		3
1371	anagrelide	3
1372		3
1373		3
1375	vonoprazan	3
1376		NULL
1377	PF-4217329	NULL
1378	PF-4523655	7
1379	SAD448	3
1381	Other Anti-convulsants	3
1382		3
1383		NULL
1384	denosumab	5
1385		3
1386	tafluprost	3
1387		NULL
1388	axomadol	3
1389	SEP-227900	3
1390	AMG 747	3
1391	bixalomer	3
1392		3
1393	quetiapine	3
1394		NULL
1395		3
1396		NULL
1397	MK-1496	3
1398	MK-4409	3
1399		NULL
1400		3
1401	tafluprost	3
1402	HSP90 Inhibitor	3
1403	buparlisib	3
1404	prasugrel	3
1405	LCL161	3
1406	sonidegib	3
1407	lanreotide	3
1408	Anti-convulsants	3
1409	Anti-depressants	3
1411	Anti-NKG2D	5
1412	Other Neuropathic Pain Agents	3
1413		3
1414	Y-39983	3
1415	Other Benzodiazepines	3
1416		3
1417		3
1418	isopropyl unoprostone	3
1420		3
1421		3
1422		3
1423		3
1424	PF-04554878	3
1425		NULL
1426		NULL
1428		NULL
1429		NULL
1430		NULL
1431	SAR164877 / REGN475	5
1432	trebananib	5
1433	ganitumab	5
1435		3
1436	AGG-523	3
1437	ATN-103	NULL
1438		3
1439		NULL
1440	letrozole	3
1441	rilpivirine/FTC/TDF/	3
1442	anti-IL-17 mAb 	5
1443	calcipotriol	3
1444	calcipotriene and betamethasone	3
1445		3
1446	tadalafil	3
1447		3
