id	company_comments	company_name	dr_company_comments	financial_year_end	headquarters	is_active	is_forecast	company_type_id	reporting_currency_id
21		Biogen Idec	"Ethical drug total starts with Total product revenues and subtracts US sales of Tysabri (natalizumab), which is listed under Biogen Idec's Alliance Revenue figures.  As of 2009, Biogen no longer has product rights to Zevalin, sales of which are included in historical Other Oncology (which is why 2008 US OP ONC is zero).  However, Zevalin to Bayer Schering Pharma AG, for distribution in the EU is recognized as product revenue and we record it as RoW OP ONC. Sept 2013 BH - Tysabri was returned to Biogen. Biogen now books 100% US sales starting Ap 2, 2013. However, in Q1, US Tysabri sales (257.4m) are booked as AR, and need to be removed from Ethical drug total. "	12	USA	TRUE	TRUE	3	6
23		Boehringer Ingelheim	"PF SEPT 17 2013 - no more room. SEE THE SHEETS IN THE BOEHRINGER INGELHEIM FOLDER.  PF APR 24 2013 - BI released their numbers. Updated R&D but still need to do sector totals.  PF APR 2013 - Estimated sector totals based on company guidance, but they will need to be changed at the next update. OP trends continued for now - not sure why Anti-infectives is zeroed out after 2013.  AM (Sept. 2011). Company reported that US sales were down 17.4% in 2010 (in EUR terms)- this was how 2010 US number was worked out.  AW (Sept 2010) - BI reported US sales for the first time in 2009.  So I adjusted US vs RoW and then adjusted this historically based on their reported growth rate for US.  BI also reported that 2009 was the first year for Spiriva to reach over 1B Euros in US.  We previously had a higher number in US, so I adjusted Spiriva historically as well.  "	12	Europe	TRUE	TRUE	1	2
24	"IN 2010 - Glucophage tfr into Other Met in US   In 2009 BMS reported $63m in RoW Metabolism sales, of which $61m were allocated to Other Metabolism (excluding $2m from Onglyza RoW.  In 2008, Co. restated 2005 ethical drug sales to $15,408m - PDV totals increased by $154m (+$82m US, +$72m RoW)"	Bristol-Myers Squibb	"4/09 US: AI - 5% growth (KOL advice) Extended the same to other TAs as well offset by RoW oncology and CNS decrease, results in approx 2% CAGR in the OP.  "	12	USA	TRUE	TRUE	1	6
25	NULL	Cardiome	NULL	12	RoW	TRUE	FALSE	3	8
26	"Celgene sold Alkeran in the US prior to 2009, when it returned rights to GSK."	Celgene	"Company's ethical drugs total is total pharma revenue minus royalties and collaborative agreement revenue and revenue from stem-cell company.  The geographical  split is given for total revenue so have assumed same split across just ethical drugs portfolio. split is not given for individual drugs. 2004 -2007 ethical drugs total excludes sales of Focalin to Novartis.   2010 Co estimates $3.2-$3.3bn: we have 3.22 if no growth in royalties etc. Geo splits for drugs fixed, geo split across whole company not firm but fits reported splits (which include non-phama products) KK 12/7/10 Onc OP is Alkeran. 2005 - 50, 2006 - 50, 2007 - 74, 2008 - 82, 2009 - 20.  EE 23.03.11 - Sales of '10 product = 3,480,300. Minus others, royalties etc. EE - Ethical R&D is all R&D minus placental stem cell r&D / cellular therapy "	12	USA	TRUE	TRUE	3	6
27	"Significant rise in 2010 ROW revenue because of acquisition of Swiss generics company Mepha, increasing sales in generic products (particulary oncology generics)."	Cephalon	"Mar 10 (NM): Generic Actiq (OTFC) in US made 83m in 2009, 96m in 2008, 129m in 2007. Allocated extra generic sales event though OTFC appears to be Ceph's only generic product because it wasn't adding up to correct figure and company did not disclose where the extra 30m or so came from in 'Other' and IMS shows no other TAs besides CNS, Pain and Onc in US. Mar '11 (CF): US: 2010 generic OTFC sales = $41mil, but as stated above, there is no place to allocate remaining dollars, so it went in there. ROW: Significant inc in YoY sales because of acquisition of Swiss generics company Mepha -increased sales in generic oncology and other generics. Cephalon 10K specified Mepha added $177.2mil to other generics sales. I added this amount to other generics and the remaining dollars to other oncology. Aug. '11 (MLN): Reallocated exta Other Oncology sales to Other Generics."	12	USA	FALSE	TRUE	3	6
28	NULL	Chiesi	NULL	12	Europe	TRUE	FALSE	3	2
29		Chugai	"Actemra overseas should go in other revs. Oncology=Chugai's oncology total (including Neutrogin overseas) MSP=Bone and joint diseases (not including Actemra overseas) Transplant+AI=Transplant, Immunology + ID. Haematology=renal disease minus oxarol (and Others because its tiny and we don't have . ethical drugs total is total sales minus actemra overseas revenue (as Roche books) 28/2 2010 = Chugai Sales (Yen375.6b) minus Actemta overseas sales in Yen"	12	Japan	TRUE	TRUE	3	3
30	NULL	Clinical Data	NULL	3	USA	TRUE	FALSE	2	6
31	NULL	Cougar Biotechnology	NULL	12	USA	TRUE	FALSE	2	6
32	NULL	Cubist Pharmaceuticals	NULL	12	USA	TRUE	FALSE	2	6
33	NULL	CV Therapeutics	NULL	12	USA	FALSE	FALSE	2	6
34		Daiichi-Sankyo	"19/8/09 Deleted Krestin as sales are small, declining and no longer reported. Add sales to forecast Other Oncology figures here. KK Nov 2011 vaccines sales added. products mostly in flu and paed.   Daiichi Sankyo started recording Ranbaxy’s US sales in the company's financial report from 2009.  BH ap 2014 - 2011 sales are over by 75.7m. Reducing US and ROW ethical sales by 30 US, 45.7 ROW, taking from Generics since looks like Ranbaxy actually made less than what we have here. "	3	Japan	TRUE	TRUE	3	7
35	"Increase in US sales from 2009 onwards reflects Dainippon Sumitomo's acquisition of Sepracor. In ROW, Sepracor recorded sales from its acquisition of Oryx - now called SPI - which markets products in CV, CNS and AI areas in Canada. The drop 2006 was due to the divestiture of a joint venture with Abbott, called Dainabot in March 2006. Sales of the JV amounted to around ¥50bn (appox.$440m) in fiscal 2005 at that time."	Sumitomo Dainippon	"BD SEP 08 - had to inc Co  OP no.s in 08 to get FY 08 numbers high enough-now use co. reported 'pharmaceutical' number - previously this no. inc. ensure liquid sales (a nutritional), which was removed - thus our 06 no. is lower than the co. reported no. This product was not reported in 07 therefore we assumed no nutritional sales are inc. in the co. reported pharmaceutical no.  FY 2010 - total 365bn:  Pharma Yen320bn Other Yen45bn.   Within Pharma: US: 121.5bn Japan + China: 205.9bn  Also include 7.4bn 'elimination' figure - have removed 4.94 from ROW & 2.47 from US. Unsure as to what this figure is. We are currently slightly under 320bn for the FY, but pretty close. Slightly under in US but slightly over in ROW."	3	Japan	TRUE	TRUE	3	7
36	NULL	Dendreon	NULL	12	USA	TRUE	FALSE	2	6
37	"US Other Generics category consists of sales from authorized generic Aricept.   ROW Other Generic category cosists of sales of its generic sales subisidairy, ELMED Eisai.  "	Eisai	"KK 19/08/09 Deleted Ontak as sales are now reported rolled up with three other lymphoma and sales are pretty small. Roughly 50% Ontak/50% Targretin. Upped US forecast for Other Oncology to include Ontak forecast sales. 24/3/11 KK Left US 2010 number as the previous estimate, but had to adjust OPs because Fragmin was changed historically. Changed ROW 2010 slightly to balance OPs. Will need updating when FY2010 number is available. Sector totals 2010 is an estimate. Aug. '11 (MLN): Company restated 2009 pharmaceutical sales. Sector Total 'Other'= Other sales + Consumer health + Diagnostics. ROW Sales= All regions ex-US - Jp. Consumer - Jp. Diagnostics. Company broke out 2010 US authorized generic Aricept sales( Y21.8b) and Japan generics sales (2009=Y8.1, 2010=Y12.4), so allocated to Other Generics. "	3	Japan	TRUE	TRUE	3	7
38	"Elan divested its EDT division in September 2011 and spun off its Prothena division in December 2012. In April 2013, Elan divested full rights to Tysabri and will only receive royalty payments going forward. In November 2013, Elan sharedholders voted to allow Perrigo to acquire the company; the acquisition completed in December 2013."	Elan	"Mar. '12 (MLN): For US Ethical Drug Sales total, use figure in Elan 20F ""Net revenue subject to discounts and allowances"". Apr. '13 (MLN): Elan divested all rights to Tysabri to Biogen, so will no longer be booking ethical sales or AR from 2014 onward. If Elan reports royalites as part of the top line, will need to consider adding Tysabri AR. *Ethical R&D = Cash expenses + Tysabri R&D. May need to recalculate quarterly ethical R&D based on full year. *Elan no longer reporting sales from EDT sector from 2012 onward. *Numbers will not match CapIQ because of restated numbers to reflect only 'Continuing Operations'. Keep everything as is.  SEPT 2013 - KD - Elan divested main product, Tysabri, to Biogen in early 2013.  Elan is re-stating 2012 R&D expenses, check and re-input when total 2012 R&D is re-stated.  Restated Q1 and Q2 R&D for 2012 are: $24.9M and $25.6M, respectively. Dec 2013 KD - to be acquired by Perrigo by end of 2013."	12	Europe	FALSE	TRUE	3	6
39		Eli Lilly	"gg mar14 - removed AR other OPs - didn't make sense.  ROW values for Yentreve have been added to its drug profile as sales. It was never launched in the US.  A new sector added to balance the difference between Eli Lilly's ""Collaboration and other revenue"" line and our Alliance Revenue brands  4/13 - Added OP for AI, CNS, Met - per Co. description  4/09: AI, CV, CNS decrease offset by Met increase. OP figure CAGR 2% 2009 RoW Other G/U sales of $21.6m reported for Yentreve by Co.  2009 Other Oncology sales relate to manufacturing revenue on Erbitux  2009 Other Oncology AR includes Erbitux royalties (@ 31.9% of BMS' US sales & 8.3% of Merck KGaA's RoW sales of the product) - royalties started in Dec. 2008 for Lilly  2011 AR - duloxetine (GU) - US 64, RoW 22  2009 - Other A/R = 28.7 RoW Yentreve Other GU RoW "	12	USA	TRUE	TRUE	1	6
40	2009 Other Oncology increased for Indevus acquisition 2010 & 2011 Other Generics increased for Qualitest acquisition 2011 - Opana IR sales moved to Other branded Prods by Co. - leading to YoY increase in MSP OP	Endo Health Solutions	"*Devices and Services = AMS + HealthTronics. *Ethical drug sales = Endo Pharm + Qualitest - Royalties. *Qualitest sales = Other Generics number. *Royalties = Royalty revenue from Sanctura and Sanctura XR. Have hard numbers for 2009 & 2010, but 2011-2013 are estimates (20% of Allergan's Sanctura XR sales). *Only record royalties from 2009-2013. Allergan will discontinue Sanctura and Sanctura XR at end of 2013, so Endo will no longer receive royalites from 2014 onward. *Decreased % of Total R&D allocated to Ethical R&D in 2012 due to addition of AMs' R&D unit. Decreased to 83% ($187.7m) based on company guidance in 10-K. EE sep 13 - looks like ED R&D is R&D minus an royalties recorded as R&D Dec 2013 AET: It appears that the quarterly R&D spend reported here (at least for 2012 and 2013) is about 83% of the R&D reported in the 10Q reports (likely related to the asterisked comment above). So for Q3 2013, I'm reporting 83% of the total R&D spend. "	12	USA	TRUE	TRUE	3	6
41	NULL	Enzon	NULL	12	USA	TRUE	FALSE	2	6
42	ROW sales are comprised of revenues from the Forest Pharmaceuticals Europe subsidiary. 	Forest	"Mar. '11 (MLN): ""Others"" in Sector Totals tab = Contract revenue + Other revenue listed in CapIQ. CapIQ's total ethical drug = Net sales + Contract revenue + Other income. PV's US ethical drug = US sales. PV's ROW ethical drug = Ireland + UK sales. Sales added to Other Resp (ROW) to account for colistin and Colobreathe from Grunenthal. Apr. '13 (MLN): Company details CNS and CV totals. Subtract our CNS, CV brand totals from company reported total to get actual Other CNS and Other CV number. Sept13 BH - spent a lot of time fixing OP. CNS, Cardo segments (on Global level) correct. Estimated other areas. Know Anti-infectives for UK/Ire made $44m not accounted for in brands."	3	USA	FALSE	TRUE	3	6
43	NULL	Genentech	NULL	12	USA	FALSE	TRUE	3	6
44		Genzyme	"Se - 14th April 2009 - Be sure to exclude diagnostics, R&D revenues and service revenues from ethical drug products sales.    KM 28/8/09: 2009 guidance reduced to 4.6-5bn.  SE - 1st Sept 09 - OPS look OK.  JB MAR 2010 - OP figures completely changed using 2009 10k  JB AUG 2010 - Clolar US/ROW splits were adjusted.  2010 OP figures adjusted to account for Genzyme guidance of 4.4 - 4.5bn  JB NOV 2010 - OP figures look fine"	12	USA	FALSE	TRUE	3	6
45	"Other products include Vistide, Emtriva."	Gilead	"MB APR 2014- Co. reported 60%US. 40% ROW, but needed to use 61%US and 39% ROW as US sales were less than sum of brands.  AM - 04/2013 - Used 58.75%/41.25% US/ROW split for Ethical Drug sales (GILD reported 58% total revenues in the US, but this # could not be used b/c US Ethical sales becomes smaller than US Brand sales).  08/2011 - AM - fixed a minor glitch in 2009. Also, Other Gilead Anti-infectives automatically changed to strong in 2011-17 - brought the numbers back to what was forecasted in 03/2011/ AM - 03/2012 - Adjusted 2010 Other numbers to form curves. Used a 56%/44% US/ROW split for Ethical Drug Sales (Gilead reports 55% total revenue coming from the US This split can not be applied to the Ethical Drug Sales split b/c US Sum of Brand becomes higher than Ethical Drug Sales).  3/23/2011. AM/AHM - couldn't find hard product sales geographic split - but company stated that 44% of 2010 product sales were ex-US, so used that split. Grew out OP number in line with sum of brands."	12	USA	TRUE	TRUE	3	6
46		GlaxoSmithKline	"MB MAR 2014- added restated 2012 consumer healthcare sales (5,170)  reduced derm due to divestment of stiefiel brands LM 9/13. AM (26/2/2013): Re-stated 2011 R&D based off of what was reported in FY2012 results. R&D = core R&D minus consumer healthcare.  AM (24/3/2010). GSK did not split out US/RoW sales for Stiefel in 2009. Assumed they were all RoW (see page 30 of 2009 annual report). 'other derm' from 2009 onwards is Stiefel . LM Nov 2011 pushed up ROW vaccines. LM March 2012 - made small adjustment to Zofran ROW 2010 sales so will affect onc others "	12	Europe	TRUE	TRUE	1	4
47	NULL	Grunenthal	NULL	12	Europe	TRUE	FALSE	3	2
49	NULL	Human Genome Sciences	NULL	12	USA	FALSE	FALSE	2	6
50	NULL	Inspire Pharmaceuticals	NULL	12	USA	FALSE	FALSE	2	6
51	"Other Products include Ginkor, Fort, Apokyn, Hexvix and 'Other Products'. "	Ipsen	"EE Mar 12 - added Hexvix (onc) and Apokyn (CNS) sales to others.  LM - Nov 2011 - pushed down all others substantially as our FY EDS was significantly above mgmt outlook (2-3%).  but will most likely have to revise back up at full-year Hem - alliance from deal with Inspiration. LM  Assigned into CNS and CV based on listed products, but there is a large 'Other Prods' category that was around E85m from 2004 on, so can distribute out widely after checking with IMS etc. 02/12/10 KK US CNS OP is Apokyn (only sold in US) and Met is Increlex. ED sales = ""drug sales"". EE 24.03.11 - Sales are total drug sales not gorup sales. Or can be claculated by group sales minus other drug related sales. Sector totals are CapiQ TR- Ethical drug sales.  EE sep 12 - R&D is general R&D not just drug related. Was 131.5 for H1 no Q1 given so I've  EE Dec 13 - other msp now includes dysport. Details in spreadsheet from KD"	12	Europe	TRUE	TRUE	3	2
52	NULL	Jazz Pharmaceuticals	NULL	12	USA	TRUE	FALSE	2	6
53		Johnson & Johnson	"sep 12 - allocated spare others to CNS as J&J report this segment much larger than we have. LM dec 12 update - ML - Added Other Vaccine OP RoW for Crucell deal - closed in Q1 2011. R&D at the moment is 65% of total but need to look into this.   ML - Adjusted 2008, 2009 & 2010 US / RoW splits - Remicade exports are included in Co's US sales - so subtracted Remicade AR from US total instead of Row total "	12	USA	TRUE	TRUE	1	6
54	 	King	 	12	USA	FALSE	TRUE	3	6
55	NULL	Kowa	NULL	3	Japan	TRUE	FALSE	3	7
56	"Prior to 2009, financial year end was March. From 2009 onwards, sales are for the period January-December. Acquired Prostrakan in mid-2011, which had a US business and marketed several minor brands in Europe."	Kyowa Hakko Kirin	"gg - apr 09 - No respiratory agents listed on IMS, so removed these OP values  KK 25/3/11 Changed 2009 total to Jan-Dec figure quoted in FY2010 report. Removed GI OP as I believe this appeared as the result of a drug being deleted that shouldn't have been added to GI in the first place. 6/9/11 Prostrakan had Onc, CV, GU and Met others. estimated others for these. NB, 2011 only includes 6mth of Prostrakan, so 2012 should bump up more. I think Adcal (£23m in 2010) and Rectogesic (£9.3m in2010) are OTC so exclude. No 'others' needed for US; we forecast its only two brands.  EE Nov 11- corrected q2 r&d spend as KHK reported 20.4 for Pharma R&D spend from Jan 11- June 11. Jan to Sept was 31.5 so 31.5 - 20=12 fpr Q3. For ethical drug sales used reported Pharma division."	12	Japan	TRUE	TRUE	3	3
57	NULL	La Jolla Pharmaceuticals	NULL	12	USA	TRUE	FALSE	2	6
58	"US sales from 2009 reflect the consolidation of Ovation Pharmaceuticals. Lundbeck divested a number of minor US Oncology, Cardiovascular, and Metabolism agents to Recordati in 2013."	Lundbeck	"APR 2014 - removed US OP in AR, no need for it.  US Other CNS AR is Celexa sales, dropping. Pre-2009, Lundbeck had <$1m in US sales, so these are not accounted for here.  Alliance = Lexapro sales + forecast AR for Abilify Maintena, Brintellix, and brexpiprazole.  SEPT 2013 - KD - ED sales = total revenue - other revenue"	12	Europe	TRUE	TRUE	3	1
59	NULL	Mannkind	NULL	12	USA	TRUE	FALSE	2	6
60	NULL	Menarini	NULL	12	Europe	TRUE	FALSE	3	2
61		Merck & Co	Check june 13 Aspen deal - will need to adjust others based on what is divested LM 28/6/13 Merck ED sales include Pharmaceutical + AZ revenues  2009 AZLP revenues $1.4bn in Other Generics - US  2011 - Merck's US sales total increased by $34m (& RoW reduced) to include sales of Avelox in Puerto Rico. 2011- Reduced US OP totals with more actual product sales reported.  Other generics largely reflects revenue from Merck's relationship with AZ relating to the sales of Nexium and Prilosec. The same category also includes supply sales for generic simvastatin to Dr.Reddy's Laboratories.  Other products numbers arising in 2009 onwards are a result of the acquisition of Schering-Plough.	12	USA	TRUE	TRUE	1	6
62		Merck / Schering Plough		12	USA	FALSE	TRUE	1	6
63	Merck KGaA divested its Generics unit in 2007.   	Merck KGaA	" LM 10/11 - Kuvan sales changed by Ben, will affect other M Divested GU franchise theramex - was €100m of sales in 2009 LM 20/5/11 LM 20/5/10 Merck serono 1% to 6% increase for full year - we are on high end of this KM 23/3/10 co guidance for 2010 of 3-7% - we are at lower end of this but think ok as company were overly optimistic last year BD - added in historical sales for Neurobion to Other Met. KK 6/10/09 Generics numbers are hard figures, 2006 includes Generics as not discontinued until 2007 - this was later restated for comparison purposes in financial docs, but should NOT be changed here. 2007 excludes discontinued Generics and royalties. 2008 excludes royalties.  18/03/08 KK Sold generics (including a respiratory franchise) in 2007. BD SEP 08 - increased Other Merck figure to get us to forecasted 2008 guidance of between 7-11% growth. Used previous other Merck US/ROW ratio "	12	Europe	TRUE	TRUE	3	2
64		Mitsubishi Tanabe Pharma	"Mar, 12  ""Other Pharmaceutical"" of sector total include  ""contracted manufacturing products"", ""Licensing fee, etc"" and Sales of Benesis, a subsidiary of MTP for sales plasma-derived bllod products which we don't usually consider to be ethical drugs   BD Dec 12 - took ED quarterly sales as 'Pharmaceuticals' total minus 'OTC' value. Also added in Q1 2012 values."	3	Japan	TRUE	TRUE	3	7
65	NULL	Mundipharma	NULL	12	Europe	TRUE	FALSE	3	5
66	NULL	NeurogesX	NULL	12	USA	TRUE	FALSE	2	6
67		Novartis	"**Jan2014, divested from diagnostics; keeping vaccines. 2014 Vaccines& Diag will only be diagnostics. 2014 - calculations done in spreadsheet BH dec 12 update - ML - $30m in Transplant OP sales added for Simulect - according to rec by PF  KK Generics should equal 95% of Sandoz minus Omnitrope (and any other biosimilars added). Vaccines is typically 72% of V&D, but should be 80% in 2009 owing to H1N1. Therefore ED is an estimate and can be manipulated. Adjusted all historically, but geo splits and totals for Vaccines is wrong; until they are re-forecast, this doesn't entirely match our assumptions. KK 28/4/10 Need to add some OP for Haem (still sells Desferal). KK 2/12/10 Added some Other Haem; took it off Onc in ROW and Onc+CNS in US. Increased Generics forecast; US grew 40% for 9mth. Cubicin sales had been reestimated so had to reassign OPS to prevent Other AI becoming massive - doesn't have much else in AI. Added Other Ophth from Alcon's old numbers. "	12	Europe	TRUE	TRUE	1	6
68		Novo Nordisk	BD Apr 09 - Have removed OP numbers as Novo's reported 'other products' number is formed almost entirely of GU products. These are now incorporated into Novo's HRT range sales. BD Mar 10 - See Novo folder on Sharepoint for details of workings. US % of total =36%; matches company reported figure.  BD Mar 11 - US sales = 39% total sales in 2010  BD Mar 12 - Novo gave US sales of 40% for 2011; we are at 41% (can't really go any lower without amending historical trends.	12	Europe	TRUE	TRUE	3	1
69		Nycomed	"LM 4/9/11 -  0 for other respiratory in 2010. Easyhaler deal with Orion in 2011 for combo products means ROW biosimilar resp will go up in future. (doesn't cover single agents, nothing launched as yet) - pushed up resp, generics, GI and MSP a bit from deals  LM 25/2/10- US is nycomed-US and comprises generics, derm and anti-infectives (all derm related). Previous ethical drugs totals have contained a portion of the out-licensing revenue, but from 2010 this was all booked as 'other' in sector totals  REVISE DOWN HEM  ROW - pushed generics up as Nyc bought portfolio of branded generics from s-a in 2009  JB MAR 10 - ROW figures adjusted to reflect FY 2009 totals.  MSP includes Calcium, Preotact, and Xefo brands.  HAE includes Tachosil CV incluses Ebrantil Other GI includes sales of Rx Antacid products VAC"	12	Europe	FALSE	TRUE	3	2
70		Ono	"4/09 Historical % split seems to make sense, tweaked a bit to allocate the unallocated.  For 2008 the OP has decreased substianlly and so the trend is revised downward for all OPs. 2008 sales are estimate from virtua.  24/3/11 2010 ethical drug sales and sector total are estimates based on 99% of the company's full-year estimate being ethical drug sales and the rest is 'Other' revenue. Update when company reports.  "	3	Japan	TRUE	TRUE	3	7
71	NULL	Orexigen Therapeutics	BD Dec 2008 - Added Orexigen	12	USA	TRUE	FALSE	2	6
72	NULL	Orion	NULL	12	Europe	TRUE	FALSE	3	2
73		Otsuka		3	Japan	TRUE	TRUE	3	7
74	NULL	OXiGENE	NULL	12	USA	TRUE	FALSE	2	6
76		Pfizer	"2012 increase in Generic OP with sales of Lipitor generics   Lift in other products numbers from 2009 due to acquisition of Wyeth.  8/10 - historical Metabolism OP sales replaced with actual #'s for Medrol / Solu-Medrol  2010 increase in OP numbers following full-year of consolidated results from Wyeth  2011 OP numbers increase with consolidation of King from March 2011 AM (28/9/09): Assume all 'other AR' belongs to ophthalmology as this is only TA that we don't have an AR number for in he model, but which company lists as having AR for. KK 5/5/10 Wyeth booked sirolumus ""alliance revenue"" to J&J for Cypher as Other Pharmaceuticals so assume Pfizer does the same i.e. should have some Other Transplant AR.  2011 reduced Transplant AR throughout forecast period - Cypher stent discontinued by J&J"	12	USA	TRUE	TRUE	1	6
77	NULL	PharmaMar	NULL	12	Europe	TRUE	FALSE	2	2
78	NULL	Pierre Fabre	NULL	12	Europe	TRUE	FALSE	3	2
79	NULL	Poniard Pharmaceuticals	NULL	12	USA	TRUE	FALSE	2	6
80	NULL	Prostrakan	NULL	12	Europe	FALSE	FALSE	2	4
81	NULL	Proteolix	NULL	12	USA	TRUE	FALSE	2	6
82	NULL	Purdue Pharma	NULL	12	USA	TRUE	FALSE	3	6
83	NULL	Reckitt Benckiser	NULL	12	Europe	TRUE	FALSE	3	4
