id	brand_name	research_code	molecule_id
117	PD-200390		1010
118	Inhibace		2542
120	Azilect	rasagiline	743
122	Androgel		888
123	Other Anti-convulsants		1381
124	ProAir		29
125	solanezumab	LY2062430	540
126	SAR501788	NULL	NULL
127	AMG 557	MEDI 5872	1354
128	Org 34167		1116
129	Letairis		48
130	Hepatitis E virus	NULL	423
131	Savella	milnacipran	574
132	Advate	recombinant Factor VIII	747
133	Zarnestra		903
134	256066		2280
135	Azmacort		926
137	Other Biguanides		1079
138	AZD1305	NULL	NULL
139	XPR2886	NULL	NULL
140	Marinol	dronabinol	269
141	Contrave		606
142	Spiriva + salmeterol		902
143	Aprela		1000
145	ronacaleret	751689	4090
146	TAK-379	NULL	NULL
147	PF-2413873	PF-2413873	1319
149	Selbex		2803
150	TAK-285	TAK-285	2929
151	azilsartan medoxomil		97
152	Erythromycin brands		323
153	Elocon / Fulmeta	Sch-32088	589
154	AMG 108	AMG 108	1364
156	AMG 102		1324
157	PF-3557156	NULL	NULL
158	Cerazette		242
159	CNTO 136	CNTO 136	1356
160	Vicodin CR	NULL	NULL
161	Carbatrol	carbamazepine extended-release	153
163	Mevalotin		718
164	1482160	1482160	2922
165	Rinderon		116
167	Influenza Vaccines - Sanofi Pasteur MSD		457
168	Flulaval / Fluarix		457
170	Taxotere		257
172	PF-4136309	PF-4136309	2015
173	CTS-21166	CTS-21166	208
174	telcagepant	telcagepant	874
177	Invanz		322
178	Ditropan XL		659
180	Other Fibrates		2184
181	Hepsera		19
183	Xyzal	levocetirizine	2991
184	Duodopa / Duopa	levodopa + carbidopa	509
185	motavizumab		595
186	Hycamtin		910
187	AZD1656		3121
188	PF-3654746	PF-3654746	4576
189	Xatral		34
190	Nizoral		487
191	Zemplar		679
192	Other Wakefulness-promoting Agents		1041
195	Flector	transdermal diclofenac epolamine	249
196	Fosrenol		494
197	CR-665	CR-665	2920
198	L19-IL2	NULL	NULL
199	Toviaz		358
200	Saizen		839
201	Brilinta	AZD-6140	896
202	Other NSAIDs		1367
203	AZD4017		3635
204	PS948115		1837
205	Gasmotin		1517
206	Thyroid preparations		893
207	L19-TNF-alpha		2696
208	MK-0633	NULL	NULL
209	679586		2706
210	Clarinex		241
211	Eraxis		62
212	Cefzon		170
213	Lovaza		646
214	Ceredist	taltirelin	858
215	Other Noradrenergics		1348
216	AZD1446	AZD1446	1068
217	Vidaza		3545
218	Vitekta	GS 9137	417
219	Other AD Agents		1534
220	AMG 853		2300
222	darotropium	NULL	227
223	Hectorol	Hectorol	267
224	Prozac	fluoxetine	376
226	BHQ880		1020
227	SAR115740	NULL	NULL
228	Emend for Injection		390
230	Biaxin		197
231	TAK-428	TAK-428	2919
232	Azactam		99
234	Comfyde	RWJ-333369	157
235	Diabetes compound 1		247
236	Sustiva		291
237	Obesity compound 1		630
238	DGAT Inhibitors		3128
239	AVE1625	NULL	NULL
240	Lotriga	TAK-085	2147
241	AG-14699	PF-1367338	3431
242	Other ESA Agents (Oncology)		1454
243	MK-1597	NULL	NULL
244	Other Migraine Agents		2212
245	Anti-convulsants		1408
246	SNX-5422		3040
247	Vimpat	lacosamide	488
248	Arranon		613
249	BeneFIX	recombinant factor IX 	746
250	1144814	1144814	2046
251	Orencia		4264
253	HIV-Thailand	NULL	428
254	losmapimod	GW856553	2043
255	Recothrom		751
257	AMG 785	AMG 785	5320
259	Other Anti-platelets		1084
260	Other Osteoporosis Treatment Products		1171
261	Aptivus		904
262	Firstcin		173
263	FluMist		457
264	Other Leukotriene Antagonists		1422
266	Qutenza	NGX-4010	5204
267	Erbitux		3319
268	Other Immunomodulators - Hepatitis		1455
269	MK-3577	MK-3577	2334
270	1018921		2045
271	PF-232798		2343
273	Other Abl Inhibitors		1036
274	923295	NULL	NULL
277	Otezla	CC-10004	3322
278	Elidel		3944
279	rilapladib	659032	4917
280	Other Immunomodulators - transplant		1345
282	Claritin		531
283	Altace		736
284	Other Smoking Cessation Agents		1023
285	ASP2314	NULL	NULL
287	Avonex	interferon-beta 1a	4116
288	Solabegron	GW-427353B; ALX-001	836
290	Lotrel		108
291	Kogenate	Factor VIII	346
292	Isoptin		952
293	AUY922	AUY922	5404
295	Org 28611		1281
296	motesanib	AMG 706	1159
297	NOMAC / E2		3323
299	ABT-279	NULL	NULL
300	Elaprase		447
301	Treximet	sumatriptan + naproxen	5532
302	TP300	SUSPENDED 2Q 2011	1227
303	Sensipar		192
305	Lantus		463
307	Herceptin		919
309	AMG 191	AMG 191	1365
310	AZD8055		3924
311	Casodex		122
312	Angeliq		272
313	Other Ophthalmology Treatments		1097
314	QAU145	NULL	NULL
315	Campral / Regtect	acamprosate	4855
316	Remeron	mirtazapine	579
317	Preluent	XRP0673	654
318	MK-0941		3131
319	Unasyn		57
320	Faslodex		394
321	729327		2044
323	Zortress / Certican		338
324	West Nile	NULL	968
325	PF-3654764		2059
326	Abilify	OPC-14597	75
328	Levemir		462
329	Intrinsa		2718
330	Cefamezin		168
332	Xyrem	JZP-6	4852
333	Other Asthma Products		1420
335	Fosamax		33
337	Pansporin		172
338	Acofide	YM-443	2152
339	Other Anti-emetics		1343
340	Aromasin		339
341	Byetta LAR	NULL	341
342	Selzentry		2936
343	Asmanex + oxymetazoline		588
344	Asmanex		589
345	nimotuzumab	DE-766	627
346	Omnitrope		839
347	Natazia / Qlaira		635
348	Other Menopausal Treatments		1526
350	MK-0594	MK-0594	1121
351	Influenza Vaccines - Sanofi		457
352	Other Contraceptives		1491
354	Xinlay		86
355	larotaxel		497
356	Neu-Up		4402
357	Coumadin		967
358	AMG 745		4687
359	Thalomid		890
360	Other Macrolides		1476
361	SSR128428	NULL	NULL
362	Zithromax		98
363	EBV vaccine		286
364	Nasacort		926
365	Tecfidera	BG-12	2192
366	fluticasone furoate + 159802	NULL	381
367	SD-6010	SD-6010	3432
368	Combivir		978
370	AEE788	NULL	NULL
371	Lunivia	NULL	330
372	human ghrelin	SUN-11031	434
373	New generation 'flu vaccine		457
374	Trileptal	oxcarbazepine	658
376	Oxytrol		2660
377	Other ACE Inhibitors		1078
378	StemEx		3888
379	agomelatine	AG0178	26
380	Amaryl		408
381	Menveo		556
382	Other NMDA Antagonists		2139
383	ferroquine	SSR 97193	357
384	HIV integrase inhibitor	HIV integrase inhibitor	3881
385	Rotarix		792
386	BGT226	NULL	NULL
387	PF-4236921	PF-4236921	4695
388	ASA404	ASA404	78
389	taspoglutide		3230
390	Thrombin-JMI		892
391	Javlor		959
392	PF-4194471		1028
393	VR632		3321
394	Zinacef		179
395	eribaxaban	NULL	318
396	Linzess		1920
397	AMG 811	AMG 811	1355
398	Copaxone	glatiramer acetate	407
399	Opalmon		516
401	farglitazar		350
402	copanlisib	BAY 80-6946	663
403	Other Anti-histamines		1400
404	Fentanyl		1167
405	Taxol		664
406	MK-6213	NULL	NULL
407	LY2157299	LY2157299	1045
408	1004723	NULL	NULL
411	sagopilone		799
412	Org 26828		1282
415	ASKP1240		1719
416	YM155		4072
417	Nerventra	laquinimod	3826
418	Neurobion		961
419	Pentasa		3657
420	Equasym XL	methylphenidate MR	568
421	SCH 532706		1902
422	elotuzumab		3670
424	Benet		770
425	Harnal / Omnic		860
426	BMS-754807		4049
427	AMG 714		1223
428	NM100060	NULL	NULL
429	Dacogen		232
433	AIN457	AIN457	1799
434	Glucobay		13
435	CytoFab	AZD9773	70
436	Elcitonin		293
437	semagacestat	LY450139	544
438	AZD7325		1726
439	184072		2261
440	Zestril		524
441	Depakene	sodium valproate	834
442	Gran		361
445	159802	NULL	NULL
446	Actonel	risedronate	770
447	Zoloft	sertraline	816
448	totrombopag	NULL	911
449	MK-5757		1120
451	Amlodin		52
452	Geodon	ziprasidone	979
453	IL-23 Ab	NULL	NULL
454	Tussionex		440
455	Ventavis		458
456	mitemcinal		580
457	DPP-IV Inhibitor	NULL	NULL
458	MK-5395		1143
461	Gardasil		436
462	talmapimod	NULL	857
463	Raptiva		290
464	lipoxin		521
465	AirFluSal	VR315	2248
468	AZD9668		2720
469	SU-14813		3114
471	Luvox	fluvoxamine	385
472	Synflorix	PHiD-CV	844
474	Other Quinolones		1479
476	AZD1386	AZD1386	1368
477	Lidoderm	transdermal lidocaine	916
478	Other Lipid-modifying Products		2185
479	Other Alcohol Dependence Agents		1025
480	932121		1752
481	Vargatef	BIBF 1120	4095
483	Advicor		620
484	Urief		3660
486	AZD2327	AZD2327	1924
487	1521498		3117
489	Fortum		176
490	Eulexin		2728
491	Albrec / Medway	GB-1057	750
492	Kadcyla	trastuzumab-DM1	1821
493	PF-610355		2664
497	AZD1236		2719
498	Abraxane		3379
499	Blopress		148
500	Prexige	lumiracoxib	539
501	Niaspan		619
502	Perdipine / Perdipine LA		5167
504	TOBI		906
505	Mosquirix	257049	1839
506	AMG 827	AMG 827	1366
507	SCH-721015		1844
508	BMP-2	BMP-2	129
510	Other Psoriasis Treatments		1541
511	BIBT-986		1130
512	Meliane		405
514	saredutant		807
515	Tyzeka / Sebivo		873
516	selurampanel	BGG492	2449
517	cangrelor		149
518	Irbetan		475
519	liposomal belotecan		520
520	Bystolic		612
521	Other IBD Agents		1093
523	Mobic	meloxicam	554
524	Protelos		845
525	MK-0893		3130
526	V934/V935		3115
527	PF-734200	NULL	NULL
528	Other Dermatology Agents		1539
529	bifeprunox		123
530	Other Addiction Agents		1024
531	ASP1941	ASP1941	1867
532	axitinib		92
533	Hyalein		438
534	capadenoson	NULL	150
536	MEDI-557		3624
537	PF-3635659		2722
539	Duphalac		489
540	MK-5442		582
541	Myslee	zolpidem	983
542	Dalvance		219
543	Other Risk Factor Products		1091
544	Nauzelin		2387
545	Rivoglitazone	DE101	4313
546	PF-4856884	CovX 060	2314
547	Trizivir		3
550	LCI699	LCI699	5403
551	GW870086X		2662
552	ABT-510		2023
553	Mozobil		705
556	VX-689	NULL	NULL
557	Zegerid		648
558	Nutropin		839
559	Visudyne	CL-318952	954
560	carmoterol + budesonide		160
561	S-2367		950
562	tralokinumab	CAT-354	3910
564	odanacatib	MK-0822	634
565	Other Aromatase Inhibitors		1372
566	Nasonex	mometasone furoate	589
567	Other Respiratory Products		1022
569	AZD2516	AZD2516	1039
570	dacomitinib	PF-299804	2337
571	Infanrix / Pediarix		275
572	Intron A		2228
573	Avapro		475
574	Other Bone-resorption Inhibitors		1385
575	ADL5859	NULL	NULL
576	PAZ-417		1076
577	Tanzeum / Eperzan	GSK-716155	27
580	peg-interferon lambda		688
581	volinanserin		963
582	PF-3049423	PF-03049423	2066
584	Entyvio	MLN-002	948
585	Other Depression Treatments		1962
587	Propecia	MK-0906	362
588	Oxis Turbuhaler		388
589	Influenza vaccine		457
590	Zerit		843
591	Other Beta-2 Agonists		1466
592	Other Respiratory Virus Treatments		1288
593	SCIO-469		1221
594	Velcade		132
595	Vesicare		837
597	Caduet		4859
598	Botox	onabotulinumtoxin A	2822
600	Eligard		505
601	Saforis		515
603	Somatuline		3658
604	Neutrogin		501
605	Adalat		625
607	Org 43902		1533
608	Arzerra	ofatumumab	637
610	Miacalcic 		804
611	AZD7268	AZD7268	1923
612	1322322	1322322	1751
613	Pediacel		2503
614	Ciltyri		309
615	Zofran		649
616	CE-224535		991
617	Razadyne / Reminyl	galantamine	397
618	ABT-072	ABT-072	5162
619	Targacept	NULL	NULL
620	Adderall XR	amphetamine salts	54
621	Other Topical Immunomodulators		1542
622	Monopril		391
623	milveterol	NULL	575
624	Cialis		853
625	Talion	bepotastine besilate	112
626	Acomplia		768
628	LY2599506		2306
629	niraparib		4063
630	Flonase / Flixonase		378
632	962040	962040	1917
633	PF-4191834	PF-4191834	3308
634	Baraclude		304
635	isavuconazole		478
636	BMS-690514		3110
637	Rhinocort	budesonide	141
638	Fablyn		498
641	Plavix		202
642	epratuzumab		312
644	Regpara		192
645	Yasmin / Yaz / Yasminelle		271
646	Revlimid		500
647	Other immunomodulators - IBD		1094
648	Asmanex + Foradil		586
649	Risperdal Consta		771
650	Mavik / Tarka		914
651	AZD2066	AZD2066	1369
652	YM311		1185
653	Hexyon		277
654	ProQuad		583
655	Thyrogen		753
657	Other Lower GI Agents		1095
658	TAK-453-SR		1107
660	Methycobal	E0302	1514
662	tanezumab	tanezumab	5458
665	CS-0777	CS-0777	1168
666	MLN4924		4065
667	Other Antibiotics		1395
668	CS-7017		2982
669	Xanax	alprazolam	42
670	Fragmin		221
671	lonaprisan	NULL	527
672	Protopic	FK-506	852
673	Tygacil		898
674	anacetrapib	MK-0859	58
675	Physiotens		599
676	pleconaril		704
677	QAT370	NULL	NULL
679	Kepivance		2762
681	dirucotide	NULL	549
682	Celecox	celecoxib	180
683	Provigil	modafinil	585
684	Elastase inhibitor	NULL	NULL
685	Venoglobulin		453
686	Onon		716
688	Depakine	sodium valproate	834
689	MK-8368	MK-8368	1122
691	Topotecin		476
692	Maxalt	rizatriptan	2431
693	Matrifen	transdermal fentanyl	915
694	649868	649868	2903
695	PF-2393296		1012
696	PF-251802	NULL	NULL
698	RSV604	RSV604	2372
700	CP-800569	NULL	NULL
701	Asmanex + indacaterol	QMF149	587
702	Instanyl	nasal fentanyl	609
703	Coniel		110
704	Visanne		722
705	pardoprunox	SLV 308	831
706	ReoPro		2440
707	ataciguat	NULL	80
708	lucatumumab		538
709	Asacol / Delzicol	Z-206	562
711	Serevent		802
712	Zocor		822
713	Other Alkylating Agents		1330
714	SAR153191	SAR153191	2801
715	midostaurin	PKC412	5535
716	Avandaryl		1329
717	Other Glaucoma Treatments		1099
719	PD-360324	PD-360324	4575
721	Beleodaq	PXD101	2194
722	Eloxatin		657
723	Sutent		851
724	BEA-2180-BR	BEA-2180-BR	991
725	AFQ056	AFQ056	1943
726	Prevacid		1648
727	Avastin		117
729	SUN-13834	SUN-13834	1519
730	Zosyn	YP-18	1577
731	Invirase / Fortovase		806
732	Spiriva	tiotropium	900
734	aleglitazar	RG1439	31
735	Flutiform		3030
736	Onglyza / Kombiglyze XR		3735
739	Extavia	interferon-beta 1b	115
740	Lipanthyl		352
741	Hepatitis C Vaccine		422
742	mirabegron	YM-178	578
743	PF-2391677	NULL	NULL
744	TroVax		929
745	Synvisc	hylan G-F 20	441
747	AZD9639	NULL	NULL
748	Multaq		270
749	orvepitant		651
752	Nootropil	piracetam	701
755	MK-5932	NULL	NULL
756	TV-1102	ATL-1102	2301
758	Enablex		3070
759	Voltaren	diclofenac	249
760	AMG 221		4370
761	TAK-438		1375
762	Serc	betahistine	114
763	Synthroid		514
764	MK-0524B	MK-0524B	581
765	Zyprexa	olanzapine	639
766	ASP2535		1066
767	742457	742457	2904
768	Creon		2937
769	Fasturtec		744
770	Ixiaro	IC51	484
772	Zolinza		2757
773	AZD8529	AZD8529	1727
775	MK-8998	MK-8998	1119
776	Zantac		2805
777	carmegliptin	NULL	158
779	Skelaxin	metaxalone	565
780	Other Blood Products Agents		1486
781	ASP2151		1188
782	AZD4877	NULL	NULL
783	enzastaurin		305
785	1614235	1614235	3118
786	468816		1955
788	Atrovent	ipratropium bromide	474
790	rosiglitazone XR		790
791	sitamaquine		829
792	Micardis		876
793	Yentreve		2686
794	Tanatril		451
795	Microgynon		513
799	Other Anti-cholinergics		1447
801	11-beta HSD Inhibitor		3119
802	PF-3864086		1013
803	Mycograb		292
804	Depas	etizolam	333
805	Humalog / Humalog Mix		465
806	Femara		1440
807	minodronate		576
808	Other Anti-androgens		1373
809	Segard		20
810	Relpax	eletriptan	296
811	Fraxiparine		5386
812	Zomig	zolmitriptan	4452
813	Other Anti-coagulants		2167
814	AQW051	AQW051	2111
817	NIC002	NIC002	1114
818	telaprevir	MP-424	1457
820	fluticasone furoate + milveterol	NULL	383
821	Helicobacter pylori vaccine		421
822	LY3012207	IMC-3G3	1358
824	SAD448	SAD448	1379
826	Ebixa	memantine	555
828	Ultram / Ultracet	tramadol / tramadol + acetaminophen	913
829	CP-533536	CP-533536	2921
830	618334	618334	2473
831	QAX576		4860
833	PF-2575799	NULL	NULL
835	Lexiva		389
836	moxidectin		597
837	OxyContin	oxycodone	660
838	Durotep	transdermal fentanyl	354
839	Gemzar		404
840	celivarone		1527
841	Gaster		348
842	Aprovel		475
843	PegIntron		687
844	retosiban		758
846	Cleocin		199
847	HIV attachment inhibitor		429
850	Flomax / Omnic		860
852	ASP2905	ASP2905	1067
853	SSR180575	NULL	NULL
854	denufosol		240
855	Fuzeon		301
856	Plusvent		803
857	Other Influenza Vaccines		1101
858	Other Penems		1477
860	BMS-582949	BMS-582949	2925
861	Geninax		1576
863	MK-0752		4060
864	586529	586529	2902
865	neratinib		4388
866	Sigmart		624
867	teriparatide	SUN-E3001	886
868	Clolar		200
869	sotrastaurin	AEB071	2118
870	AZD8330		4048
872	acadesine	SCH 9000395	9
873	Herbesser		250
874	Other Thrombolytics		1312
875	AZD9056	NULL	NULL
876	PF-4878691	NULL	NULL
878	panobinostat	LBH589	677
879	BMS-753493	BMS-753493	3034
880	Inspra		308
881	Cipralex	escitalopram	326
882	Procoralan		482
884	galiximab		398
885	Other Pain Agents		2200
886	Funguard		572
888	Nexium		4152
889	Circadin	prolonged-release melatonin	723
890	Theodur		891
892	LY2334737	LY2334737	1814
893	cinaciguat	BAY-58-2667	193
894	Mircera		986
896	Ciprobay		194
897	AZD5672	NULL	NULL
898	Tracleer		133
899	Other Vaccine Products		1104
900	TAK-100	NULL	NULL
901	Cipro DPI		194
902	Tricor		352
903	Xopenex		506
904	PF-217830	PF-217830	1750
905	ALVAC2	NULL	45
907	Amitiza		4866
908	Dogmatyl		3156
909	Imunace		868
910	Yondelis		2557
911	MK-1682	NULL	NULL
913	Mirena		512
914	Basen		962
915	Gamma secretase inhibitor		1071
917	Diflucan		374
918	masilukast		548
919	Prilosec		647
920	315234	315234	1362
921	TAK-700	TAK-700	1875
922	Volibris		48
923	MBX-102		564
925	SAR389644		1195
926	Ontak		2695
929	Amrix	cyclobenzaprine ER	209
930	BIBW-2948-BS		1129
931	Strattera	atomoxetine	83
932	Nebido		2741
934	RAF265		3113
935	SBR759	SBR759	1164
938	pasireotide	SOM230	681
939	MK-3281		1754
940	Humulin		435
941	Levoxyl		514
942	insulin peglispro	LY-2605541	101
943	Xigris		273
944	PF-4548043	NULL	NULL
945	SSR103800	NULL	NULL
946	alemtuzumab	alemtuzumab	32
947	Diabetes compound 2		247
949	trebananib	AMG 386	1432
950	Diovan		938
951	Atacand		148
952	PF-4457845	PF-4457845	2076
953	Sandimmune / Neoral	OLO-400	210
954	Pradaxa		216
955	Other Infertility Treatments		1747
956	Ionsys		354
957	ASP9831		3135
959	Prevencor		84
960	IMOJEV		186
961	Gonax		235
962	patupilone	EPO906	682
963	Coversyl 	perindopril	2712
965	Implanon		334
966	Promacta / Revolade		1004
967	Combivent		801
968	Oblean		183
969	Arcoxia	etoricoxib	336
970	Daytrana	methylphenidate	3106
971	Nplate	AMG-531	784
972	Nexavar		840
974	MK-2206		4062
975	ASP8825		1328
977	remogliflozin	NULL	754
978	Arxxant	LY-333531	795
980	Other Incontinence Products		1106
982	ABT-724		1180
983	Zyrtec	cetirizine	1286
984	Sandostatin		633
985	Pravachol		718
986	SAR3419	SAR3419	2985
987	arzoxifene		1002
988	Ebrantil		2642
989	KOS-1584	KOS-1584	3036
990	Sancuso		1865
992	Evista		2732
993	PF-4447943	PF-4447943	2071
994	Opana / Opana ER	oxymorphone	662
995	Aciphex / Pariet		730
996	Navelbine		960
997	BACE inhibitor		1070
1001	TAK-591	TAK-591	2177
1002	Maxipime		171
1003	Menactra	MCV-4	559
1004	PF-3715455		3435
1005	PF-885706	NULL	NULL
1006	R7232		1249
1007	Omnicef		170
1010	AZD7762		3923
1011	Actilyse		43
1012	Augmentin		53
1013	idrabiotaparinux	SSR126517E	448
1014	Avinza	extended release morphine sulfate	593
1015	Aloxi		4076
1016	Metalyse		879
1018	dovitinib	TKI258	264
1019	Cytovene		399
1021	Cancidas		164
1024	Depakote	valproate semi-sodium	937
1026	Dilatrend		162
1027	TAK-448	TAK-448	3116
1028	Luvox CR	fluvoxamine	385
1029	Synagis		670
1030	preladenant	SCH 420814	720
1031	Vfend / Eraxis combination		965
1032	CP-866087	NULL	NULL
1034	Xarelto		774
1035	Other Travel Vaccines		1103
1036	LCZ696	LCZ696	2114
1037	Rebif	interferon-beta 1a	469
1038	Seroquel	FK949E	727
1039	Alimta		691
1040	Gonal F		748
1041	Humatrope		839
1042	Other Azoles		1475
1043	Valdoxan	agomelatine	26
1044	dacetuzumab	RG3636	217
1045	Vasotec		300
1047	TT-223		1812
1048	Pralia		1472
1050	Hematide		324
1051	firategrast	683699	363
1052	Fluvirin		457
1055	Adempas	BAY63-2521	769
1056	Temodar		877
1057	Urso		932
1058	Other Microtubule Modulators		1325
1060	Other Supportive Care Agents		1292
1061	Cubicin		224
1062	Enbrel	etanercept	331
1064	Epogen		3602
1065	Evithrom		2639
1066	Rabies		731
1067	Daxas	APTA-2217	2990
1068	Serdolect	sertindole	815
1069	Genotropin		839
1070	Kynapid	MK-6621	953
1071	MK-3207		1142
1072	Aricept	donepezil	259
1073	gimatecan	NULL	406
1074	PF-4856880	PF-4856880	2014
1076	Actiq	TA-8317	355
1077	octreotide	SMS 995	633
1078	Xenical		650
1079	AmBisome		55
1080	Nasea		737
1081	Gracevit	DU-6859a	826
1082	Other Protease Inhibitors		1452
1083	AZD1152		4047
1084	Maintate		125
1086	Sunrythm		697
1087	NovoNorm / Prandin		755
1088	Keppra	L-059	507
1089	AZD1940	NULL	NULL
1090	Espo / Nesp		1172
1091	Somavert		689
1092	Other Diabetes Products		1080
1093	Lupuzor	IPP-201101	473
1094	Loxonin	loxoprofen	535
1095	AZD5904	AZD5904	1728
1096	Famvir		347
1098	Metadate CD	methylphenidate MR	568
1099	RotaTeq		2203
1100	Anti-depressants		1409
1101	MBX-2044		2348
1103	Angiocept		61
1106	Other Hypnotics		1453
1107	Tekturna		36
1108	Ellence		307
1109	SAR407899	SAR407899	3896
1110	Ambien / Stilnox	zolpidem	983
1111	Other Endocrinology Products		1087
1112	Cozaar / Hyzaar		533
1113	UK-453061		2342
1114	PF-2545920	PF-2545920	5395
1115	Macrobid		546
1116	Myfortic	ERL-080	601
1117	Other Polyenes		1413
1118	BI-2536		2981
1119	BMS-777607		1021
1120	MEDI-528		2704
1122	PF-2400013	PF-2400013	2064
1123	Neupro	SPM-962	3733
1126	Prezista		229
1127	Viramune		618
1128	MK-1220	NULL	NULL
1129	ABT-325	ABT-325	1755
1130	Zinbryta	daclizumab	2460
1132	Avodart / Jalyn / Duodart		2033
1133	IMA-026		1794
1134	PF-4523655	RTP801i	1378
1136	Cipro		194
1137	Boniva / Bonviva	ibandronate	443
1140	MK-4074		3132
1142	Marvelon		332
1143	Camptosar		476
1144	AZD8931		2931
1145	Fastic		611
1146	PCSK9 Adnectin		3353
1147	Iressa		403
1148	ocrelizumab		5200
1149	MK-0773		1913
1150	AZD3199		2668
1151	PD-299685	PD-299685	1318
1153	Other ESAs	NULL	NULL
1154	BEZ235		1186
1155	TAK-363		1462
1156	PRA-027		2602
1158	tandutinib	MLN 0518	861
1159	PF-4802540	PF-4802540 / TS-032	1111
1160	Cefzil		174
1162	Anti IL-1	NULL	NULL
1165	Coreg		162
1166	Vectibix		676
1167	filorexant 	MK-6096	2335
1168	Other Herpes Treatments		1461
1169	GRC 6211	GRC 6211	1967
1170	Nuvaring		335
1171	Pergoveris		749
1172	LY2275796		1816
1174	Comtan / Stalevo	entacapone	303
1175	Norvir		772
1176	2190915	2190915	2705
1177	Cardura		265
1178	Livalo		2304
1179	solifenacin/tamsulosin		838
1180	tremelimumab	PF-675206	923
1181	424887	NULL	NULL
1182	Activase / TNKase		44
1183	dalcetrapib	RG1658	220
1184	Simplirix		2270
1185	Dimebon	PF-01913539	251
1187	Gabitril	tiagabine	894
1188	Other Corneal & External Eye Products		1098
1189	LXR Agonist	XL652	2629
1190	945237		1753
1191	AGS-8M4		2150
1192	Atripla		299
1193	Flu pre-pandemic	NULL	372
1195	Topina	topiramate	909
1196	Other Immunomodulators - Psoriasis		1540
1197	TAK-593	NULL	NULL
1198	amikacin inhale		50
1200	Brovana		74
1202	Relistor		3528
1203	almorexant	almorexant	37
1205	Vancocin		941
1206	Other EGF Pathway Inhibitors (Biologics)		1038
1207	ASK8007		1872
1208	MEDI-534		2549
1209	Lipitor		84
1211	LY2624803	LY2624803	543
1212	856553	NULL	NULL
1214	AGS-16M18		3714
1215	Finibax		261
1216	Ziagen		2
1217	Cleviprex		198
1220	Zeffix		490
1221	Accupril		728
1222	IP receptor agonist	NULL	NULL
1223	PF-3463275	PF-3463275	2070
1224	PF-3526299		2713
1225	Humira	adalimumab	18
1226	Abelcet		56
1227	Epogin		325
1228	Lupron		505
1229	LY3012217	IMC-A12	2009
1230	Airtal	aceclofenac	4321
1231	Rezonic		163
1232	Tamiflu		652
1234	Risperdal	risperidone	771
1235	Vfend		964
1236	AVE-5530		89
1237	Sabril	vigabatrin	956
1238	zibotentan	ZD4054	977
1239	MK-0736		3776
1240	835726	NULL	NULL
1241	anrukinzumab	IMA-638	4001
1242	Tykerb / Tyverb		495
1244	Other Echinocandins		1026
1245	Other Immunomodulators - MS		1513
1247	Emerflu		369
1248	Other Hormonal Products		1551
1249	Almogran	almotriptan	38
